GAPD	1.2.1.12
LDH_L	1.1.1.27
G6PDH2r	1.1.1.49
GND	1.1.1.44
PDHm	1.2.4.1, 2.3.1.12, 1.8.1.4
ICDHxm	1.1.1.41
ICDHyrm	1.1.1.42
AKGDm	1.2.4.2, 1.8.1.4, 2.3.1.61
MDHm	1.1.1.37
CI_MitoCore	1.6.5.3, 1.6.5.8, 1.6.5.9
ME2m	1.1.1.40
ME1m	1.1.1.38
NNT_MitoCore	1.6.1.2
ME2	1.1.1.40
ICDHy	1.1.1.42
MDH	1.1.1.37
G3PD1	1.1.1.8
MECR16C_MitoCore	1.3.1.38
MTPC16_MitoCore	4.2.1.74, 1.1.1.211, 2.3.1.16
MECR14C_MitoCore	1.3.1.38
MTPC14_MitoCore	4.2.1.74, 1.1.1.211, 2.3.1.16
r0638	1.3.1.38
r0722	1.1.1.35
r0735	1.3.1.38
r0726	1.1.1.35
r0633	1.3.1.38
r0730	1.1.1.35
r0791	1.3.1.38
r0733	1.1.1.35
HACD1m	1.1.1.35
r0691	2.3.1.85
r0682	2.3.1.85
r0761	2.3.1.85
r0763	2.3.1.85
r0694	2.3.1.85
r0765	2.3.1.85
r0692	2.3.1.85
r0767	2.3.1.85
r0769	2.3.1.85
r0712	2.3.1.85
r0701	2.3.1.85
r0771	2.3.1.85
r0696	2.3.1.85
r0773	2.3.1.85
BDHm	1.1.1.30
OIVD1m	1.2.4.4, 2.3.1.168, 1.8.1.4
OIVD3m	1.2.4.4, 2.3.1.168, 1.8.1.4
HACD9m	1.1.1.35
OIVD2m	1.2.4.4, 2.3.1.168, 1.8.1.4
HIBDm	1.1.1.31 or 1.1.1.35
MMSAD1m	1.2.1.27
r1154	1.2.4.4 + 2.3.1.168 + 1.8.1.4
2HBO	1.1.1.27
MCLOR	1.1.1.27
KYN3OX	1.14.13.9
r0645	1.2.1.32
AMCOXO	1.5.1.-
AMCOXO2_MitoCore	1.5.1.-
2OXOADOXm	1.2.4.2 and 2.3.1.61 and 1.8.1.4
SACCD3m	1.5.1.8
r0525	1.5.1.9
AASAD3m	1.2.1.31
R03103_MitoCore	1.2.1.31
1PPDCRc_MitoCore	1.5.1.1 or 1.5.1.21
1PPDCRc_NADPH_MitoCore	1.5.1.1 or 1.5.1.21
r0594	1.2.1.31
r0074	1.2.1.88
G5SDym	1.2.1.41
P5CRm	1.5.1.2
P5CRxm	1.5.1.2
r0464c_MitoCore	1.2.1.3
ABUTD	1.2.1.3
NABTNOm	1.2.1.3
r0178	1.2.1.24
GLUDxm	1.4.1.3
GLUDym	1.4.1.3
GLUDxi	1.4.1.3
GLUDy	1.4.1.3
PGCD	1.1.1.95
FOLR2	1.5.1.3
DHFR	1.5.1.3
MTHFD	1.5.1.5
FTHFDH	1.5.1.6
GCCcm	1.8.1.4
r0514	1.5.1.3
r0226	1.5.1.3
MTHFDm	1.5.1.5
MTHFD2m	1.5.1.15
FTHFDHm_MitoCore	1.5.1.6
LDH_Dm_MitoCore	1.1.1.28
NOS1	1.14.13.39
NOS2	1.14.13.39
DHPR	1.5.1.34
MMSAD3m	1.2.1.18
MMSAD3m2_MitoCore	1.2.1.18
ALCD2yf	1.1.1.2
ALCD2if	1.1.1.1
ALDD2xm	1.2.1.3
ALDD2x	1.2.1.3
HOXG	1.14.99.3
BILIRED	1.3.1.24
BILIRED2_MitoCore	1.3.1.24
GTHO	1.8.1.7
GTHOm	1.8.1.7
