id,name,Abbreviation,EC Number,SUBSYSTEM,Description,Equation,Lower Bound,Upper Bound,μmol/min/gDW,Recon2,Recon2 Formula,KEGG,Gene symbol,Ensembl,HGNC,Gene Name,RNAseq Expression (FPKM),Immunohistochemisty,In list?,Score
R_OF_ATP_MitoCore,Objective Function - ATP ,OF_ATP_MitoCore,,Objective Function - ATP ,Maximum ATP production (ATP hydrolysis),M_h2o_c + M_atp_c --> M_adp_c + M_pi_c + M_h_c + M_biomass_c,0.0,1000.0,100.8923,DM_atp_c_,h2o[c] + atp[c] -> h[c] + adp[c] + pi[c],,,,,,,,,
R_OF_HEME_MitoCore,Objective Function - Heme,OF_HEME_MitoCore,,Objective Function - Heme,Maximum Heme production,M_pheme_m --> M_biomass_m,0.0,1000.0,0.0,,,,,,,,,,,
R_OF_LIPID_MitoCore,Objective Function - Lipid synthesis ,OF_LIPID_MitoCore,,Objective Function - Lipid synthesis ,Maximum lipid synthesis (Mito Inner Membrane),0.4 M_pchol_hs_m + 0.34 M_pe_hs_m + 0.3 M_ps_hs_m + 0.18 M_clpn_hs_m --> M_biomass_m,0.0,1000.0,0.0,,,,,,,,,,,
R_OF_PROTEIN_MitoCore,Objective Function - Protein Synthesis,OF_PROTEIN_MitoCore,,Objective Function - Protein Synthesis,Maxmium production of amino acids for protein synthesis,0.19 M_his_L_m + 0.43 M_ile_L_m + 0.82 M_leu_L_m + 0.89 M_lys_L_m + 0.23 M_met_L_m + 0.39 M_phe_L_m + 0.47 M_thr_L_m + 0.02 M_trp_L_m + 0.53 M_val_L_m + 0.54 M_arg_L_m + 0.53 M_asp_L_m + 0.07 M_cys_L_m + 0.58 M_glu_L_m + 0.49 M_gln_L_m + 0.81 M_gly_m + 0.62 M_pro_L_m + 0.59 M_ser_L_m + 0.24 M_tyr_L_m + 0.42 M_asn_L_m + 0.76 M_ala_L_m --> M_biomass_m,0.0,1000.0,0.0,,,,,,,,,,,
R_HEX1,hexokinase (D-glucose:ATP),HEX1,2.7.1.1 or 2.7.1.2,Glycolysis,ATP + alpha-D-Glucose --> ADP + alpha-D-Glucose 6-phosphate,M_atp_c + M_glc_D_c --> M_h_c + M_adp_c + M_g6p_c,0.0,1000.0,0.9,HEX1,atp[c] + glc_D[c] -> h[c] + adp[c] + g6p[c],R01786,HK1 or HK2 or HK3 or GCK,ENSG00000156515 or ENSG00000159399 or ENSG00000160883 or ENSG00000106633,HGNC:4922 or HGNC:4923 or HGNC:4925 or HGNC:4195,Hexokinases,"High, Low, Low, Low","Medium, Medium, Low, Low","TRUE, TRUE, FALSE, FALSE","6.3802, 10.7609, -1.9426, -4.3576"
R_G6PPer,glucose-6-phosphate phosphatase,G6PPer,3.1.3.9,Gluconeogenesis,alpha-D-Glucose 6-phosphate + H2O --> alpha-D-Glucose + Orthophosphate,M_h2o_c + M_g6p_c --> M_pi_c + M_glc_D_c,0.0,0.0,0.0,G6PPer,h2o[r] + g6p[r] -> pi[r] + glc_D[r],R01788,G6PC,ENSG00000131482,HGNC:4056,Glucose 6-phosphatase,Not detected,Medium,False,-4.8268
R_PGI,glucose-6-phosphate isomerase,PGI,5.3.1.9,Glycolysis/gluconeogenesis,alpha-D-Glucose 6-phosphate --> beta-D-Fructose 6-phosphate,M_g6p_c --> M_f6p_c,-1000.0,1000.0,0.9,PGI,g6p[c] --> f6p[c],R02740,GPI,ENSG00000105220,HGNC:4458,glucose-6-phosphate isomerase,High,Medium,True,10.5459
R_PFK,phosphofructokinase,PFK,2.7.1.11,Glycolysis,"ATP + beta-D-Fructose 6-phosphate --> ADP + beta-D-Fructose 1,6-bisphosphate",M_atp_c + M_f6p_c --> M_h_c + M_adp_c + M_fdp_c,0.0,1000.0,0.9,PFK,atp[c] + f6p[c] -> h[c] + adp[c] + fdp[c],R04779,PFKM,ENSG00000152556,HGNC:8877,phosphofructokinase,High,High,False,-2.2497
R_FBP,fructose-bisphosphatase,FBP,3.1.3.11,Gluconeogenesis,"beta-D-Fructose 1,6-bisphosphate + H2O --> beta-D-Fructose 6-phosphate + Orthophosphate",M_h2o_c + M_fdp_c --> M_pi_c + M_f6p_c,0.0,0.0,0.0,FBP,h2o[c] + fdp[c] -> pi[c] + f6p[c],R04780 ,FBP1 or FBP2,ENSG00000165140 or ENSG00000130957,HGNC:3606 or HGNC:3607,fructose-bisphosphatase,Low or Not detected,Not detected or Not detected,False,"-3.5494, -8.2811"
R_FBA,fructose-bisphosphate aldolase,FBA,4.1.2.13,Glycolysis/gluconeogenesis,"beta-D-Fructose 1,6-bisphosphate --> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",M_fdp_c --> M_dhap_c + M_g3p_c,-1000.0,1000.0,0.9,FBA,fdp[c] --> dhap[c] + g3p[c],R01070,ALDOA or ALDOC,ENSG00000149925 or ENSG00000109107,HGNC:414 or HGNC:418,fructose-bisphosphate aldolase,High or High,Not detected or Not detected,False,-4.8741
