From	To	Species	Gene Name
A6NDB9	ENSG00000288318	Homo sapiens	paralemmin 3(PALM3)
A6NDB9	ENSG00000187867	Homo sapiens	paralemmin 3(PALM3)
Q6YHU6	ENSG00000115970	Homo sapiens	THADA armadillo repeat containing(THADA)
O14545	ENSG00000135148	Homo sapiens	TRAF-type zinc finger domain containing 1(TRAFD1)
O14548	ENSG00000115944	Homo sapiens	cytochrome c oxidase subunit 7A2 like(COX7A2L)
Q9UL63	ENSG00000128585	Homo sapiens	muskelin 1(MKLN1)
Q9H4L5	ENSG00000070882	Homo sapiens	oxysterol binding protein like 3(OSBPL3)
Q9H4L4	ENSG00000161956	Homo sapiens	SUMO specific peptidase 3(SENP3)
Q9H4L4	ENSG00000277957	Homo sapiens	SUMO specific peptidase 3(SENP3)
Q9H4L7	ENSG00000163104	Homo sapiens	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1(SMARCAD1)
P30876	ENSG00000047315	Homo sapiens	RNA polymerase II subunit B(POLR2B)
Q9NXC5	ENSG00000164654	Homo sapiens	meiosis regulator for oocyte development(MIOS)
O14562	ENSG00000103353	Homo sapiens	ubiquitin family domain containing 1(UBFD1)
O14561	ENSG00000004779	Homo sapiens	NADH:ubiquinone oxidoreductase subunit AB1(NDUFAB1)
P52209	ENSG00000142657	Homo sapiens	phosphogluconate dehydrogenase(PGD)
P42858	ENSG00000197386	Homo sapiens	huntingtin(HTT)
Q96QZ7	ENSG00000151276	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1(MAGI1)
Q96QZ7	ENSG00000282956	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1(MAGI1)
P39210	ENSG00000115204	Homo sapiens	mitochondrial inner membrane protein MPV17(MPV17)
Q8WXA9	ENSG00000153914	Homo sapiens	splicing regulatory glutamic acid and lysine rich protein 1(SREK1)
Q9UKV3	ENSG00000100813	Homo sapiens	apoptotic chromatin condensation inducer 1(ACIN1)
Q567U6	ENSG00000125633	Homo sapiens	coiled-coil domain containing 93(CCDC93)
Q9UKV5	ENSG00000159461	Homo sapiens	autocrine motility factor receptor(AMFR)
A4D1P6	ENSG00000105875	Homo sapiens	WD repeat domain 91(WDR91)
Q9UKV8	ENSG00000123908	Homo sapiens	argonaute RISC catalytic component 2(AGO2)
Q6NZ67	ENSG00000152082	Homo sapiens	mitotic spindle organizing protein 2B(MZT2B)
Q6NZ67	ENSG00000173272	Homo sapiens	mitotic spindle organizing protein 2A(MZT2A)
Q8WXA3	ENSG00000204130	Homo sapiens	RUN and FYVE domain containing 2(RUFY2)
Q5BKY9	ENSG00000234545	Homo sapiens	family with sequence similarity 133 member B(FAM133B)
Q9Y6A9	ENSG00000114902	Homo sapiens	signal peptidase complex subunit 1(SPCS1)
Q9Y6A5	ENSG00000013810	Homo sapiens	transforming acidic coiled-coil containing protein 3(TACC3)
Q9Y6A4	ENSG00000070761	Homo sapiens	cilia and flagella associated protein 20(CFAP20)
P54886	ENSG00000059573	Homo sapiens	aldehyde dehydrogenase 18 family member A1(ALDH18A1)
Q7Z4L5	ENSG00000123607	Homo sapiens	tetratricopeptide repeat domain 21B(TTC21B)
Q9NXE4	ENSG00000136699	Homo sapiens	sphingomyelin phosphodiesterase 4(SMPD4)
Q9NXE8	ENSG00000273559	Homo sapiens	CWC25 spliceosome associated protein homolog(CWC25)
Q9NXE8	ENSG00000276761	Homo sapiens	CWC25 spliceosome associated protein homolog(CWC25)
Q5BKZ1	ENSG00000162664	Homo sapiens	zinc finger protein 326(ZNF326)
Q86XA9	ENSG00000129493	Homo sapiens	HEAT repeat containing 5A(HEATR5A)
P82094	ENSG00000144747	Homo sapiens	TATA element modulatory factor 1(TMF1)
Q9H4I9	ENSG00000274112	Homo sapiens	single-pass membrane protein with aspartate rich tail 1(SMDT1)
Q9H4I9	ENSG00000183172	Homo sapiens	single-pass membrane protein with aspartate rich tail 1(SMDT1)
Q9H4I9	ENSG00000272835	Homo sapiens	single-pass membrane protein with aspartate rich tail 1(SMDT1)
Q9H4I9	ENSG00000272901	Homo sapiens	single-pass membrane protein with aspartate rich tail 1(SMDT1)
Q9UKX2	ENSG00000125414	Homo sapiens	myosin heavy chain 2(MYH2)
Q9Y6B6	ENSG00000152700	Homo sapiens	secretion associated Ras related GTPase 1B(SAR1B)
O14579	ENSG00000105669	Homo sapiens	COPI coat complex subunit epsilon(COPE)
Q9NXF1	ENSG00000136891	Homo sapiens	testis expressed 10(TEX10)
O14578	ENSG00000122966	Homo sapiens	citron rho-interacting serine/threonine kinase(CIT)
Q9UKX7	ENSG00000093000	Homo sapiens	nucleoporin 50(NUP50)
Q9Y6B7	ENSG00000134262	Homo sapiens	adaptor related protein complex 4 subunit beta 1(AP4B1)
Q9UL15	ENSG00000166170	Homo sapiens	BAG cochaperone 5(BAG5)
Q92538	ENSG00000107862	Homo sapiens	golgi brefeldin A resistant guanine nucleotide exchange factor 1(GBF1)
Q9Y5Y5	ENSG00000121680	Homo sapiens	peroxisomal biogenesis factor 16(PEX16)
Q9UL18	ENSG00000092847	Homo sapiens	argonaute RISC component 1(AGO1)
Q7Z4S6	ENSG00000139116	Homo sapiens	kinesin family member 21A(KIF21A)
Q06587	ENSG00000204227	Homo sapiens	ring finger protein 1(RING1)
Q06587	ENSG00000226788	Homo sapiens	ring finger protein 1(RING1)
Q06587	ENSG00000231115	Homo sapiens	ring finger protein 1(RING1)
Q06587	ENSG00000235107	Homo sapiens	ring finger protein 1(RING1)
Q06587	ENSG00000206287	Homo sapiens	ring finger protein 1(RING1)
Q06587	ENSG00000228520	Homo sapiens	ring finger protein 1(RING1)
A6NDG6	ENSG00000184207	Homo sapiens	phosphoglycolate phosphatase(PGP)
Q86XI2	ENSG00000146918	Homo sapiens	non-SMC condensin II complex subunit G2(NCAPG2)
P54819	ENSG00000004455	Homo sapiens	adenylate kinase 2(AK2)
Q6Y7W6	ENSG00000204120	Homo sapiens	GRB10 interacting GYF protein 2(GIGYF2)
Q9Y5Z4	ENSG00000051620	Homo sapiens	heme binding protein 2(HEBP2)
Q92530	ENSG00000125818	Homo sapiens	proteasome inhibitor subunit 1(PSMF1)
Q9UL25	ENSG00000080371	Homo sapiens	RAB21, member RAS oncogene family(RAB21)
Q8WXF0	ENSG00000154548	Homo sapiens	serine and arginine rich splicing factor 12(SRSF12)
Q8WXF1	ENSG00000121390	Homo sapiens	paraspeckle component 1(PSPC1)
Q13724	ENSG00000115275	Homo sapiens	mannosyl-oligosaccharide glucosidase(MOGS)
Q9H4P4	ENSG00000181852	Homo sapiens	ring finger protein 41(RNF41)
Q9BUB7	ENSG00000175606	Homo sapiens	transmembrane protein 70(TMEM70)
Q8WXF7	ENSG00000198513	Homo sapiens	atlastin GTPase 1(ATL1)
Q7Z4R8	ENSG00000185127	Homo sapiens	chromosome 6 open reading frame 120(C6orf120)
P42898	ENSG00000177000	Homo sapiens	methylenetetrahydrofolate reductase(MTHFR)
O14519	ENSG00000111328	Homo sapiens	cyclin dependent kinase 2 associated protein 1(CDK2AP1)
Q92522	ENSG00000184897	Homo sapiens	H1.10 linker histone(H1-10)
Q92520	ENSG00000196937	Homo sapiens	FAM3 metabolism regulating signaling molecule C(FAM3C)
P42892	ENSG00000117298	Homo sapiens	endothelin converting enzyme 1(ECE1)
P83369	ENSG00000155858	Homo sapiens	LSM11, U7 small nuclear RNA associated(LSM11)
Q9UL33	ENSG00000167515	Homo sapiens	trafficking protein particle complex subunit 2L(TRAPPC2L)
Q92526	ENSG00000132141	Homo sapiens	chaperonin containing TCP1 subunit 6B(CCT6B)
P41567	ENSG00000173812	Homo sapiens	eukaryotic translation initiation factor 1(EIF1)
Q9UL36	ENSG00000130856	Homo sapiens	zinc finger protein 236(ZNF236)
Q8WXE1	ENSG00000164053	Homo sapiens	ATR interacting protein(ATRIP)
Q9UKR5	ENSG00000133935	Homo sapiens	ergosterol biosynthesis 28 homolog(ERG28)
Q8WXE0	ENSG00000177303	Homo sapiens	CASK interacting protein 2(CASKIN2)
Q7Z4Q2	ENSG00000155393	Homo sapiens	HEAT repeat containing 3(HEATR3)
Q9H501	ENSG00000089048	Homo sapiens	ESF1 nucleolar pre-rRNA processing protein homolog(ESF1)
P40222	ENSG00000084652	Homo sapiens	taxilin alpha(TXLNA)
Q9BUA3	ENSG00000168005	Homo sapiens	spindlin interactor and repressor of chromatin binding(SPINDOC)
Q07889	ENSG00000115904	Homo sapiens	SOS Ras/Rac guanine nucleotide exchange factor 1(SOS1)
Q9UL40	ENSG00000113761	Homo sapiens	zinc finger protein 346(ZNF346)
O14521	ENSG00000204370	Homo sapiens	succinate dehydrogenase complex subunit D(SDHD)
P40227	ENSG00000146731	Homo sapiens	chaperonin containing TCP1 subunit 6A(CCT6A)
O14524	ENSG00000166881	Homo sapiens	nuclear envelope integral membrane protein 1(NEMP1)
Q9UL42	ENSG00000240694	Homo sapiens	PNMA family member 2(PNMA2)
Q92508	ENSG00000103335	Homo sapiens	piezo type mechanosensitive ion channel component 1 (Er blood group)(PIEZO1)
Q9UL46	ENSG00000100911	Homo sapiens	proteasome activator subunit 2(PSME2)
Q9UL46	ENSG00000284889	Homo sapiens	proteasome activator subunit 2(PSME2)
Q92506	ENSG00000204228	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 8(HSD17B8)
Q92506	ENSG00000228712	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 8(HSD17B8)
Q92506	ENSG00000225312	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 8(HSD17B8)
Q92506	ENSG00000228357	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 8(HSD17B8)
Q92506	ENSG00000232357	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 8(HSD17B8)
Q92506	ENSG00000112474	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 8(HSD17B8)
Q9UKS6	ENSG00000165912	Homo sapiens	protein kinase C and casein kinase substrate in neurons 3(PACSIN3)
Q13740	ENSG00000170017	Homo sapiens	activated leukocyte cell adhesion molecule(ALCAM)
Q9UL45	ENSG00000104164	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 6(BLOC1S6)
Q9NXA8	ENSG00000124523	Homo sapiens	sirtuin 5(SIRT5)
P15289	ENSG00000100299	Homo sapiens	arylsulfatase A(ARSA)
Q06546	ENSG00000154727	Homo sapiens	GA binding protein transcription factor subunit alpha(GABPA)
