Var1,Var2
OF_ATP_MitoCore,NaN
OF_HEME_MitoCore,NaN
OF_LIPID_MitoCore,NaN
OF_PROTEIN_MitoCore,NaN
HEX1,1.247
G6PPer,NaN
PGI,1.04066666666667
PFK,1.116
FBP,NaN
FBA,0.984666666666667
TPI,1.10933333333333
GAPD,1.02666666666667
PGK,1.22
PGM,1.063
ENO,1.38833333333333
PYK,1.075
r0122,1.075
PEPCK,NaN
LDH_L,0.921
G6PDH2r,1.08166666666667
PGL,1.35733333333333
GND,1.09066666666667
RPI,1.004
RPE,NaN
TKT1,1.317
TALA,1.024
TKT2,1.317
PDHm,1.04233333333333
CSm,1.13233333333333
ACONTm,1.509
ICDHxm,1.13233333333333
ICDHyrm,1.75066666666667
AKGDm,1.16433333333333
SUCOAS1m,1.18066666666667
SUCOASm,1.21266666666667
FUMm,1.11733333333333
MDHm,1.218
CI_MitoCore,0.68
CII_MitoCore,1.02666666666667
CIII_MitoCore,0.629333333333333
CIV_MitoCore,0.618333333333333
CV_MitoCore,0.907333333333333
PEPCKm,2.34666666666667
PCm,0.991333333333333
ME2m,NaN
ME1m,1.29066666666667
r0081,1.14233333333333
ACITLm_MitoCore,0.817
NDPK1m,1.15466666666667
NNT_MitoCore,1.64366666666667
ADK1m,1.35
ME2,1.10333333333333
ALATA_L,NaN
NDPK1,1.402
FUM,1.11733333333333
ADK1,1.21333333333333
ICDHy,1.121
ACONT,1.32033333333333
ACITL,0.817
ASPTA,1.18666666666667
MDH,1.158
AKGMALtm,1.30866666666667
ASPGLUmB_MitoCore,1.32966666666667
ASPTAm,1.329
G3PD1,1.13933333333333
r0205,1.345
FACOAL160i,1.087
C160CPT1,NaN
PPA,0.948666666666667
r2435,1.246
C160CPT2,1.44633333333333
PPAm,1.16866666666667
ACOT2_MitoCore,NaN
ACADLC16_MitoCore,1.143
MECR16C_MitoCore,1.225
MTPC16_MitoCore,1.182
ACADLC14_MitoCore,1.143
MECR14C_MitoCore,1.225
MTPC14_MitoCore,1.182
r1447,1.15766666666667
r0638,1.225
r0660,1.168
r0722,1.204
r0724,1.52833333333333
r1451,1.15766666666667
r0735,1.225
r0728,1.168
r0726,1.204
r0634,1.52833333333333
r1448,1.15766666666667
r0633,1.225
r0731,1.168
r0730,1.204
r0732,1.52833333333333
r1450,1.15766666666667
r0791,1.225
r0734,1.168
r0733,1.204
r0287,1.52833333333333
r1446,1.35233333333333
ECOAH1m,1.168
HACD1m,1.204
ACACT1rm,1.148
ACCOAC,NaN
MCOATA,0.850666666666667
ACOATA,0.850666666666667
r0678,0.850666666666667
r0691,0.850666666666667
r0681,0.850666666666667
r0682,0.850666666666667
r0760,0.850666666666667
r0761,0.850666666666667
r0762,0.850666666666667
r0763,0.850666666666667
r0764,0.850666666666667
r0694,0.850666666666667
r0695,0.850666666666667
r0765,0.850666666666667
r0766,0.850666666666667
r0692,0.850666666666667
r0693,0.850666666666667
r0767,0.850666666666667
r0768,0.850666666666667
r0769,0.850666666666667
r0770,0.850666666666667
r0712,0.850666666666667
r0713,0.850666666666667
r0701,0.850666666666667
r0702,0.850666666666667
r0771,0.850666666666667
r0772,0.850666666666667
r0696,0.850666666666667
r0697,0.850666666666667
r0773,0.850666666666667
FA160ACPH,0.850666666666667
FACOAL40im,NaN
BDHm,NaN
OCOAT1m,1.269
HMGCOASim,NaN
HMGLm,1.26466666666667
LEUTAm,1.22166666666667
OIVD1m,1.12566666666667
r0655,1.279
MCCCrm,1.09133333333333
MGCHrm,1.18933333333333
ILETAm,1.22166666666667
OIVD3m,1.12566666666667
r0603,1.66666666666667
ECOAH9m,1.168
HACD9m,1.204
ACACT10m,1.52833333333333
VALTAm,1.22166666666667
OIVD2m,1.12566666666667
r0560,1.66666666666667
ECOAH12m,1.168
3HBCOAHLm,1.21233333333333
HIBDm,1.53733333333333
ACCOALm,NaN
MMSAD1m,1.59033333333333
PPCOACm,0.786666666666667
MMEm,0.686
MMMm,1.36
MMCDm,1.06666666666667
RE2649M,NaN
THRD_L,1.571
r1155,NaN
r1154,1.12566666666667
2HBO,0.921
METAT,1.037
METAT2_MitoCore,NaN
AHC,1.01266666666667
ADNK1,1.302
CYSTS,NaN
CYSTGL,1.63933333333333
CYSO,0.547333333333333
3SALATAi,1.18666666666667
3SPYRSP,NaN
CYSTA,1.18666666666667
CYSTAm,1.329
MCPST,1.3
MCPSTm_MitoCore,1.3
r0595m_MitoCore,1.3
r0595B_MitoCore,1.3
MCLOR,0.921
r0193,1.63933333333333
TRPO2,NaN
FKYNH,NaN
KYN3OX,NaN
HKYNH,NaN
3HAO,0.291666666666667
PCLAD,NaN
r0645,NaN
AMCOXO,NaN
AMCOXO2_MitoCore,NaN
2OXOADPTmB_MitoCore,0.806333333333333
2OXOADPTmC_MitoCore,0.806333333333333
2OXOADOXm,1.16433333333333
r0541,0.961333333333333
SACCD3m,1.34
r0525,1.34
AASAD3m,1.46666666666667
R03103_MitoCore,1.46666666666667
r0450,NaN
LYSOXc_MitoCore,NaN
PPD2CSPc_MitoCore,NaN
1PPDCRc_MitoCore,NaN
1PPDCRc_NADPH_MitoCore,NaN
LPCOXc_MitoCore,NaN
RE1254C,NaN
r0594,1.46666666666667
2AMADPTmB_MitoCore,0.806333333333333
2AMADPTmC_MitoCore,0.806333333333333
PROD2mB_MitoCore,NaN
G5SADrm,NaN
r0074,1.39
GLU5Km,0.991333333333333
G5SDym,0.991333333333333
P5CRm,1.34966666666667
P5CRxm,1.34966666666667
ORNTArm,0.831333333333333
ORNDC,NaN
PTRCOX1,NaN
r0464c_MitoCore,1.46666666666667
ABUTD,1.46666666666667
ARGDCm,NaN
AGMTm,NaN
PTRCAT1m_MitoCore,NaN
APRTO2m_MitoCore,NaN
NABTNOm,1.46666666666667
4aabutn_MitoCore,NaN
GLUDC,NaN
4ABUTtm,NaN
ABTArm,0.939
r0178,1.606
GLUDxm,1.38
GLUDym,1.38
GLUDxi,1.38
GLUDy,1.38
GLNS,1.40633333333333
GLUNm,0.945333333333333
GLUN_MitoCore,1.009
PGCD,1.66466666666667
PSERT,1.82
PSP_L,1.46733333333333
GHMT2r,1.15833333333333
FOLR2,0.910666666666667
DHFR,0.910666666666667
MTHFD,1.134
MTHFC,1.134
FTCD,NaN
FTHFL,1.134
FTHFDH,NaN
r0060,1.64866666666667
GHMT2rm,1.52366666666667
GCCam,1.337
GCCbim,NaN
GCCcm,1.18833333333333
r0514,NaN
r0226,NaN
MTHFDm,NaN
MTHFD2m,1.19433333333333
MTHFCm,1.19433333333333
FTHFLm,1.12933333333333
FTHFDHm_MitoCore,NaN
GLYATm,0.366666666666667
AOBUTDsm,NaN
AACTOORm_MitoCore,NaN
LGTHLm_MitoCore,1.26466666666667
GLYOXm,1.345
LDH_Dm_MitoCore,NaN
CBPSam,NaN
OCBTm,NaN
NOS1,NaN
NOS2,NaN
r0129,NaN
AMPTASECG,NaN
GLUCYS,1.241
GTHS,1.13533333333333
r0399,NaN
DHPR,1.059
TYRTA,1.18666666666667
TYRTB_MitoCore,NaN
34HPPOR,NaN
HGNTOR,NaN
MACACI,1.50333333333333
FUMAC,1.282
ASNS1,1.33166666666667
r0127,NaN
HISD,NaN
URCN,NaN
IZPN,NaN
GluForTx,NaN
APAT2rm,0.939
MMSAD3m,1.59033333333333
MMSAD3m2_MitoCore,1.59033333333333
ASP1DC,NaN
CKc,1.17966666666667
CK,NaN
ACOAHi,NaN
ALCD2yf,1.381
ALCD2if,1.04333333333333
ACALDtm,NaN
ALDD2xm,1.46666666666667
ALDD2x,1.46666666666667
ACSm,NaN
ACS,0.497333333333333
ADSL1,0.974666666666667
ADSS,0.888
AMPD1,NaN
ARGN,NaN
ARGSL,1.243
ARGSS,2.235
ARGNm,0.851666666666667
ALASm,NaN
5AOPtm,NaN
PPBNGS,0.444666666666667
HMBS,1.04566666666667
UPP3S,0.681333333333333
UPPDC1,1.064
CPPPGO,1.194
PPPGOmB_MitoCore,1.23766666666667
FCLTm,1.41666666666667
PHEMEtm,NaN
HOXG,0.974333333333333
BILIRED,1.212
BILIRED2_MitoCore,1.19666666666667
PCHOLPm_hs,1.092
GLYK,1.32266666666667
GLYC3Ptm,NaN
GPAMm_hsB_MitoCore,NaN
AGPAT1B_MitoCore,0.761
CDSm,1.01733333333333
PGPPTm,NaN
PGPP_hsm_MitoCore,1.139
CLS_hsm_MitoCore,NaN
CLPN_MitoCore,NaN
CYTK1m,NaN
NDPK3m,1.15466666666667
SPODMm,1.201
GTHP,NaN
GTHPm,1.301
GTHO,1.14933333333333
GTHOm,1.14933333333333
CITtamB,1.351
r0913,1.351
CITtbm,1.351
r0917,1.351
r0917b_MitoCore,1.351
PIt2mB_MitoCore,1.203
ATPtmB_MitoCore,1.189
HtmB_MitoCore,NaN
MALtm,1.117
MALSO3tm,1.117
MALTSULtm,1.117
MALSO4tm,1.117
SUCCt2m,1.117
r0830,1.117
r0830B_MitoCore,1.117
r0829,1.117
SUCCt3m_MitoCore,1.117
COAtmB_MitoCore,NaN
COAtmC_MitoCore,NaN
GLUt2mB_MitoCore,NaN
ORNt4mB_MitoCore,1.33933333333333
r2398B_MitoCore,1.33933333333333
r2402B_MitoCore,1.33933333333333
LYStmB_MitoCore,NaN
ORNt3mB_MitoCore,NaN
ARGtmB_MitoCore,NaN
r1427,NaN
PYRt2m,1.05233333333333
ACACt2mB_MitoCore,1.05233333333333
FE2tm,NaN
ASNtm,NaN
r1437,NaN
GLNtm,NaN
PROtm,NaN
r1078,NaN
r1436,NaN
r1455,NaN
TRPtm_MitoCore,NaN
GLYtm,NaN
ILEt5m,NaN
LEUt5m,NaN
VALt5m,NaN
r1434,NaN
r1435,NaN
r1440,NaN
BALAtmr,NaN
UREAtm,NaN
FUMtmB_MitoCore,NaN
BHBtmB_MitoCore,NaN
PPAtmB_MitoCore,NaN
BUTt2mB_MitoCore,NaN
FORt2mB_MitoCore,NaN
r0962B_MitoCore,NaN
CHLtmB_MitoCore,NaN
CO2tm,NaN
H2Otm,NaN
O2tm,NaN
GLYCtm,NaN
CYANtm,NaN
TCYNTtmB_MitoCore,NaN
CREATtmdiffir,NaN
PCREATtmdiffirB_MitoCore,NaN
r0941,NaN
r0838B_MitoCore,NaN
Biomasst_MitoCore,NaN
PCFLOPm,1.16766666666667
PSFLIPm,1.16766666666667
PEFLIPm,1.16766666666667
Biomass_MitoCore,NaN
O2t,NaN
CO2t,NaN
HCO3t_MitoCore,NaN
GLCt1r,NaN
HDCAtr,NaN
HDCAtm_MitoCore,NaN
L_LACt2r,NaN
BHBt,NaN
ACACt2,NaN
ETOHt,NaN
BUTt2r,NaN
GLYCt,NaN
r0942,NaN
r0942b_MitoCore,NaN
HIStiDF,NaN
ILEtec,NaN
LEUtec,NaN
LYStiDF,NaN
METtec,NaN
PHEtec,NaN
r2534,NaN
TRPt,NaN
VALtec,NaN
ARGtiDF,NaN
ASPte,NaN
CYStec,NaN
GLUt_MitoCore,NaN
r2525,NaN
GLYt2r,NaN
PROt2r,NaN
r2526,NaN
TYRt,NaN
r2532,NaN
ALAt2r,NaN
FUMt_MitoCore,NaN
SUMt_MitoCore,NaN
r0817,NaN
NH4t3r,NaN
ACt2r,NaN
PPAt,NaN
2HBt2,NaN
CHOLtu,NaN
r1088,NaN
ICITt_MitoCore,NaN
UREAt,NaN
r1512,NaN
ARGSUCt_MitoCore,NaN
MAL_Lte,NaN
OAAt_MitoCore,NaN
AKGt_MitoCore,NaN
MERCPLACt_MitoCore,NaN
r0899,NaN
FE2t,NaN
H2Ot,NaN
Hct_MitoCore,NaN
Hmt_MitoCore,NaN
SO3t_MitoCore,NaN
TSULt_MitoCore,NaN
r0940,NaN
CYANt,NaN
TCYNTt,NaN
r1423,NaN
FORt_MitoCore,NaN
FOLt_MitoCore,NaN
NADHt_MitoCore,NaN
NADt_MitoCore,NaN
NADHtm_MitoCore,NaN
NADtm_MitoCore,NaN
COt,NaN
NOt,NaN
PCHOLHSTDe,NaN
PSt3,NaN
PEt,NaN
