Var1,Var2
OF_ATP_MitoCore,NaN
OF_HEME_MitoCore,NaN
OF_LIPID_MitoCore,NaN
OF_PROTEIN_MitoCore,NaN
HEX1,1.31833333333333
G6PPer,NaN
PGI,0.883
PFK,1.229
FBP,NaN
FBA,1.136
TPI,1.156
GAPD,1.024
PGK,1.147
PGM,1.16233333333333
ENO,1.20766666666667
PYK,1.01133333333333
r0122,1.01133333333333
PEPCK,NaN
LDH_L,1.21933333333333
G6PDH2r,0.807333333333333
PGL,0.814666666666667
GND,0.909
RPI,1.23333333333333
RPE,NaN
TKT1,1.02966666666667
TALA,1.02233333333333
TKT2,1.02966666666667
PDHm,1.02233333333333
CSm,1.15966666666667
ACONTm,0.922333333333333
ICDHxm,0.980333333333333
ICDHyrm,0.843666666666667
AKGDm,0.851
SUCOAS1m,1.01533333333333
SUCOASm,0.928333333333333
FUMm,1.04033333333333
MDHm,1.306
CI_MitoCore,0.709333333333333
CII_MitoCore,1.036
CIII_MitoCore,0.648666666666667
CIV_MitoCore,0.576333333333333
CV_MitoCore,0.983333333333333
PEPCKm,0.794666666666667
PCm,1.07066666666667
ME2m,NaN
ME1m,0.884
r0081,1.03133333333333
ACITLm_MitoCore,1.175
NDPK1m,0.738666666666667
NNT_MitoCore,0.781
ADK1m,1.21533333333333
ME2,1.12366666666667
ALATA_L,NaN
NDPK1,1.03733333333333
FUM,1.04033333333333
ADK1,0.946333333333333
ICDHy,0.975666666666667
ACONT,0.962
ACITL,1.175
ASPTA,1.16833333333333
MDH,1.09833333333333
AKGMALtm,0.831
ASPGLUmB_MitoCore,1.11033333333333
ASPTAm,0.948666666666667
G3PD1,1.24266666666667
r0205,0.871
FACOAL160i,1.007
C160CPT1,NaN
PPA,1.368
r2435,0.937333333333333
C160CPT2,0.925666666666667
PPAm,0.909
ACOT2_MitoCore,NaN
ACADLC16_MitoCore,0.542666666666667
MECR16C_MitoCore,1.05033333333333
MTPC16_MitoCore,1.06133333333333
ACADLC14_MitoCore,0.542666666666667
MECR14C_MitoCore,1.05033333333333
MTPC14_MitoCore,1.06133333333333
r1447,0.977666666666667
r0638,1.05033333333333
r0660,0.823666666666667
r0722,0.922
r0724,0.778
r1451,0.977666666666667
r0735,1.05033333333333
r0728,0.823666666666667
r0726,0.922
r0634,0.778
r1448,0.977666666666667
r0633,1.05033333333333
r0731,0.823666666666667
r0730,0.922
r0732,0.778
r1450,0.977666666666667
r0791,1.05033333333333
r0734,0.823666666666667
r0733,0.922
r0287,0.778
r1446,0.980666666666667
ECOAH1m,0.823666666666667
HACD1m,0.922
ACACT1rm,1.04533333333333
ACCOAC,NaN
MCOATA,1.315
ACOATA,1.315
r0678,1.315
r0691,1.315
r0681,1.315
r0682,1.315
r0760,1.315
r0761,1.315
r0762,1.315
r0763,1.315
r0764,1.315
r0694,1.315
r0695,1.315
r0765,1.315
r0766,1.315
r0692,1.315
r0693,1.315
r0767,1.315
r0768,1.315
r0769,1.315
r0770,1.315
r0712,1.315
r0713,1.315
r0701,1.315
r0702,1.315
r0771,1.315
r0772,1.315
r0696,1.315
r0697,1.315
r0773,1.315
FA160ACPH,1.315
FACOAL40im,NaN
BDHm,NaN
OCOAT1m,0.702
HMGCOASim,NaN
HMGLm,0.831666666666667
LEUTAm,1.22133333333333
OIVD1m,0.986333333333333
r0655,1.13933333333333
MCCCrm,0.986
MGCHrm,1.24533333333333
ILETAm,1.22133333333333
OIVD3m,0.986333333333333
r0603,0.980666666666667
ECOAH9m,0.823666666666667
HACD9m,0.922
ACACT10m,0.778
VALTAm,1.22133333333333
OIVD2m,0.986333333333333
r0560,0.980666666666667
ECOAH12m,0.823666666666667
3HBCOAHLm,1.048
HIBDm,1.009
ACCOALm,NaN
MMSAD1m,0.825666666666667
PPCOACm,0.749666666666667
MMEm,0.956333333333333
MMMm,0.949666666666667
MMCDm,1.188
RE2649M,NaN
THRD_L,1.013
r1155,NaN
r1154,0.986333333333333
2HBO,1.21933333333333
METAT,0.934
METAT2_MitoCore,NaN
AHC,1.19766666666667
ADNK1,1.224
CYSTS,NaN
CYSTGL,1.288
CYSO,0.756333333333333
3SALATAi,1.16833333333333
3SPYRSP,NaN
CYSTA,1.16833333333333
CYSTAm,0.948666666666667
MCPST,0.974
MCPSTm_MitoCore,0.974
r0595m_MitoCore,0.974
r0595B_MitoCore,0.974
MCLOR,1.21933333333333
r0193,1.288
TRPO2,NaN
FKYNH,NaN
KYN3OX,NaN
HKYNH,NaN
3HAO,0.245
PCLAD,NaN
r0645,NaN
AMCOXO,NaN
AMCOXO2_MitoCore,NaN
2OXOADPTmB_MitoCore,0.578333333333333
2OXOADPTmC_MitoCore,0.578333333333333
2OXOADOXm,0.851
r0541,1.06733333333333
SACCD3m,1.07733333333333
r0525,1.07733333333333
AASAD3m,0.959
R03103_MitoCore,0.959
r0450,NaN
LYSOXc_MitoCore,NaN
PPD2CSPc_MitoCore,NaN
1PPDCRc_MitoCore,NaN
1PPDCRc_NADPH_MitoCore,NaN
LPCOXc_MitoCore,NaN
RE1254C,NaN
r0594,0.959
2AMADPTmB_MitoCore,0.578333333333333
2AMADPTmC_MitoCore,0.578333333333333
PROD2mB_MitoCore,NaN
G5SADrm,NaN
r0074,0.966333333333333
GLU5Km,1.21066666666667
G5SDym,1.21066666666667
P5CRm,1.05966666666667
P5CRxm,1.05966666666667
ORNTArm,1.07133333333333
ORNDC,NaN
PTRCOX1,NaN
r0464c_MitoCore,0.959
ABUTD,0.959
ARGDCm,NaN
AGMTm,NaN
PTRCAT1m_MitoCore,NaN
APRTO2m_MitoCore,NaN
NABTNOm,1.211
4aabutn_MitoCore,NaN
GLUDC,NaN
4ABUTtm,NaN
ABTArm,0.635666666666667
r0178,0.848
GLUDxm,1.09933333333333
GLUDym,1.09933333333333
GLUDxi,1.09933333333333
GLUDy,1.09933333333333
GLNS,0.909666666666667
GLUNm,1.054
GLUN_MitoCore,1.31633333333333
PGCD,1.10866666666667
PSERT,1.20766666666667
PSP_L,1.296
GHMT2r,1.145
FOLR2,0.847666666666667
DHFR,0.847666666666667
MTHFD,0.940666666666667
MTHFC,0.940666666666667
FTCD,NaN
FTHFL,0.940666666666667
FTHFDH,NaN
r0060,1.013
GHMT2rm,1.12666666666667
GCCam,1.24566666666667
GCCbim,NaN
GCCcm,1.02233333333333
r0514,NaN
r0226,NaN
MTHFDm,NaN
MTHFD2m,1.08033333333333
MTHFCm,1.08033333333333
FTHFLm,1.13266666666667
FTHFDHm_MitoCore,NaN
GLYATm,0.557333333333333
AOBUTDsm,NaN
AACTOORm_MitoCore,NaN
LGTHLm_MitoCore,1.07833333333333
GLYOXm,0.802
LDH_Dm_MitoCore,NaN
CBPSam,NaN
OCBTm,NaN
NOS1,NaN
NOS2,NaN
r0129,NaN
AMPTASECG,NaN
GLUCYS,0.935
GTHS,0.995666666666667
r0399,NaN
DHPR,1.11566666666667
TYRTA,1.16833333333333
TYRTB_MitoCore,NaN
34HPPOR,NaN
HGNTOR,NaN
MACACI,0.920666666666667
FUMAC,1.03066666666667
ASNS1,1.30433333333333
r0127,NaN
HISD,NaN
URCN,NaN
IZPN,NaN
GluForTx,NaN
APAT2rm,0.635666666666667
MMSAD3m,0.825666666666667
MMSAD3m2_MitoCore,0.825666666666667
ASP1DC,NaN
CKc,1.01233333333333
CK,NaN
ACOAHi,NaN
ALCD2yf,1.06633333333333
ALCD2if,1.022
ACALDtm,NaN
ALDD2xm,1.211
ALDD2x,0.959
ACSm,NaN
ACS,0.247333333333333
ADSL1,1.13166666666667
ADSS,1.16666666666667
AMPD1,NaN
ARGN,NaN
ARGSL,1.25566666666667
ARGSS,0.915
ARGNm,1.08133333333333
ALASm,NaN
5AOPtm,NaN
PPBNGS,0.00333333333333333
HMBS,0.960666666666667
UPP3S,0.636666666666667
UPPDC1,1.22733333333333
CPPPGO,1.10866666666667
PPPGOmB_MitoCore,1.24733333333333
FCLTm,0.881
PHEMEtm,NaN
HOXG,1.17033333333333
BILIRED,0.95
BILIRED2_MitoCore,1.04666666666667
PCHOLPm_hs,0.489333333333333
GLYK,0.758
GLYC3Ptm,NaN
GPAMm_hsB_MitoCore,NaN
AGPAT1B_MitoCore,0.734
CDSm,1.28966666666667
PGPPTm,NaN
PGPP_hsm_MitoCore,1.12433333333333
CLS_hsm_MitoCore,NaN
CLPN_MitoCore,NaN
CYTK1m,NaN
NDPK3m,0.738666666666667
SPODMm,1.05466666666667
GTHP,NaN
GTHPm,1.284
GTHO,1.144
GTHOm,1.144
CITtamB,0.954666666666667
r0913,0.954666666666667
CITtbm,0.954666666666667
r0917,0.954666666666667
r0917b_MitoCore,0.954666666666667
PIt2mB_MitoCore,1.043
ATPtmB_MitoCore,0.89
HtmB_MitoCore,NaN
MALtm,0.957666666666667
MALSO3tm,0.957666666666667
MALTSULtm,0.957666666666667
MALSO4tm,0.957666666666667
SUCCt2m,0.957666666666667
r0830,0.957666666666667
r0830B_MitoCore,0.957666666666667
r0829,0.957666666666667
SUCCt3m_MitoCore,0.957666666666667
COAtmB_MitoCore,NaN
COAtmC_MitoCore,NaN
GLUt2mB_MitoCore,NaN
ORNt4mB_MitoCore,0.962
r2398B_MitoCore,0.962
r2402B_MitoCore,0.962
LYStmB_MitoCore,NaN
ORNt3mB_MitoCore,NaN
ARGtmB_MitoCore,NaN
r1427,NaN
PYRt2m,1.11833333333333
ACACt2mB_MitoCore,1.11833333333333
FE2tm,NaN
ASNtm,NaN
r1437,NaN
GLNtm,NaN
PROtm,NaN
r1078,NaN
r1436,NaN
r1455,NaN
TRPtm_MitoCore,NaN
GLYtm,NaN
ILEt5m,NaN
LEUt5m,NaN
VALt5m,NaN
r1434,NaN
r1435,NaN
r1440,NaN
BALAtmr,NaN
UREAtm,NaN
FUMtmB_MitoCore,NaN
BHBtmB_MitoCore,NaN
PPAtmB_MitoCore,NaN
BUTt2mB_MitoCore,NaN
FORt2mB_MitoCore,NaN
r0962B_MitoCore,NaN
CHLtmB_MitoCore,NaN
CO2tm,NaN
H2Otm,NaN
O2tm,NaN
GLYCtm,NaN
CYANtm,NaN
TCYNTtmB_MitoCore,NaN
CREATtmdiffir,NaN
PCREATtmdiffirB_MitoCore,NaN
r0941,NaN
r0838B_MitoCore,NaN
Biomasst_MitoCore,NaN
PCFLOPm,1.113
PSFLIPm,1.113
PEFLIPm,1.113
Biomass_MitoCore,NaN
O2t,NaN
CO2t,NaN
HCO3t_MitoCore,NaN
GLCt1r,NaN
HDCAtr,NaN
HDCAtm_MitoCore,NaN
L_LACt2r,NaN
BHBt,NaN
ACACt2,NaN
ETOHt,NaN
BUTt2r,NaN
GLYCt,NaN
r0942,NaN
r0942b_MitoCore,NaN
HIStiDF,NaN
ILEtec,NaN
LEUtec,NaN
LYStiDF,NaN
METtec,NaN
PHEtec,NaN
r2534,NaN
TRPt,NaN
VALtec,NaN
ARGtiDF,NaN
ASPte,NaN
CYStec,NaN
GLUt_MitoCore,NaN
r2525,NaN
GLYt2r,NaN
PROt2r,NaN
r2526,NaN
TYRt,NaN
r2532,NaN
ALAt2r,NaN
FUMt_MitoCore,NaN
SUMt_MitoCore,NaN
r0817,NaN
NH4t3r,NaN
ACt2r,NaN
PPAt,NaN
2HBt2,NaN
CHOLtu,NaN
r1088,NaN
ICITt_MitoCore,NaN
UREAt,NaN
r1512,NaN
ARGSUCt_MitoCore,NaN
MAL_Lte,NaN
OAAt_MitoCore,NaN
AKGt_MitoCore,NaN
MERCPLACt_MitoCore,NaN
r0899,NaN
FE2t,NaN
H2Ot,NaN
Hct_MitoCore,NaN
Hmt_MitoCore,NaN
SO3t_MitoCore,NaN
TSULt_MitoCore,NaN
r0940,NaN
CYANt,NaN
TCYNTt,NaN
r1423,NaN
FORt_MitoCore,NaN
FOLt_MitoCore,NaN
NADHt_MitoCore,NaN
NADt_MitoCore,NaN
NADHtm_MitoCore,NaN
NADtm_MitoCore,NaN
COt,NaN
NOt,NaN
PCHOLHSTDe,NaN
PSt3,NaN
PEt,NaN
