EntryID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
228	Bos taurus	P80025	1.11.1.7	concentration	H2O2	8.0E-4			M
228	Bos taurus	P80025	1.11.1.7	kcat/Km	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	62000.0		7000.0	M^(-1)*s^(-1)
228	Bos taurus	P80025	1.11.1.7	Km	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	2.6E-4		5.0E-5	M
228	Bos taurus	P80025	1.11.1.7	concentration	Enzyme	1.0E-7			M
228	Bos taurus	P80025	1.11.1.7	concentration	Nitrite	0.05			M
228	Bos taurus	P80025	1.11.1.7	concentration	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	5.0E-5	8.0E-4		M
228	Bos taurus	P80025	1.11.1.7	kcat		16.0		1.0	s^(-1)
229	Bos taurus	P80025	1.11.1.7	concentration	Nitrite	0.1			M
229	Bos taurus	P80025	1.11.1.7	kcat/Km	N-Acetyl-L-tryptophanethylester	20000.0		2000.0	M^(-1)*s^(-1)
229	Bos taurus	P80025	1.11.1.7	Km	N-Acetyl-L-tryptophanethylester	7.2E-4		7.0E-5	M
229	Bos taurus	P80025	1.11.1.7	kcat		14.5		0.5	s^(-1)
229	Bos taurus	P80025	1.11.1.7	concentration	H2O2	8.0E-4			M
229	Bos taurus	P80025	1.11.1.7	concentration	Enzyme	1.0E-7			M
229	Bos taurus	P80025	1.11.1.7	concentration	N-Acetyl-L-tryptophanethylester	3.0E-5	0.012		M
230	Bos taurus	P80025	1.11.1.7	kcat		19.0		1.0	s^(-1)
230	Bos taurus	P80025	1.11.1.7	concentration	Nitrite	0.15			M
230	Bos taurus	P80025	1.11.1.7	concentration	H2O2	8.0E-4			M
230	Bos taurus	P80025	1.11.1.7	concentration	Enzyme	1.0E-7			M
230	Bos taurus	P80025	1.11.1.7	concentration	N-Acetyl-L-tryptophanamide	3.0E-4	0.012		M
230	Bos taurus	P80025	1.11.1.7	Km	N-Acetyl-L-tryptophanamide	0.0023		4.0E-4	M
230	Bos taurus	P80025	1.11.1.7	kcat/Km	N-Acetyl-L-tryptophanamide	8000.0		900.0	M^(-1)*s^(-1)
234	Bos taurus	P80025	1.11.1.7	rate const.		260.0		20.0	M^(-1)*s^(-1)
234	Bos taurus	P80025	1.11.1.7	concentration	H2O2	8.0E-4			M
234	Bos taurus	P80025	1.11.1.7	concentration	Enzyme	1.0E-7			M
234	Bos taurus	P80025	1.11.1.7	concentration	N-Acetyl-L-tryptophanamide	0.0107			M
234	Bos taurus	P80025	1.11.1.7	concentration	Nitrite	0.004	0.4		M
235	Bos taurus	P80025	1.11.1.7	concentration	Nitrite	0.006	0.25		M
235	Bos taurus	P80025	1.11.1.7	concentration	H2O2	8.0E-4			M
235	Bos taurus	P80025	1.11.1.7	rate const.		900.0		100.0	M^(-1)*s^(-1)
235	Bos taurus	P80025	1.11.1.7	concentration	N-Acetyl-L-tryptophanethylester	0.008			M
235	Bos taurus	P80025	1.11.1.7	concentration	Enzyme	1.0E-7			M
236	Bos taurus	P80025	1.11.1.7	concentration	Enzyme	1.0E-7			M
236	Bos taurus	P80025	1.11.1.7	rate const.		1700.0		300.0	M^(-1)*s^(-1)
236	Bos taurus	P80025	1.11.1.7	concentration	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	8.0E-4			M
236	Bos taurus	P80025	1.11.1.7	concentration	H2O2	8.0E-4			M
236	Bos taurus	P80025	1.11.1.7	concentration	Nitrite	0.003	0.042		M
259	Bos taurus	P00669 P61823	4.6.1.18	kcat/Km	2',3'-Cyclic CMP	6870.0		120.0	M^(-1)*s^(-1)
259	Bos taurus	P00669 P61823	4.6.1.18	Km	2',3'-Cyclic CMP	5.1E-4		1.0E-5	M
259	Bos taurus	P00669 P61823	4.6.1.18	kcat		3.49			s^(-1)
259	Bos taurus	P00669 P61823	4.6.1.18	concentration	Enzyme	0.02			mg/ml
259	Bos taurus	P00669 P61823	4.6.1.18	concentration	2',3'-Cyclic CMP	1.0E-4	0.002		M
260	Bos taurus	P61823 P00669	4.6.1.18	kcat		2.59		0.12	s^(-1)
260	Bos taurus	P61823 P00669	4.6.1.18	concentration	Enzyme	0.02			mg/ml
260	Bos taurus	P61823 P00669	4.6.1.18	kcat/Km	2',3'-Cyclic CMP	6200.0		390.0	M^(-1)*s^(-1)
260	Bos taurus	P61823 P00669	4.6.1.18	Km	2',3'-Cyclic CMP	4.2E-4		5.0E-5	M
260	Bos taurus	P61823 P00669	4.6.1.18	concentration	2',3'-Cyclic CMP	1.0E-4	0.002		M
261	Bos taurus	P00669 P61823	4.6.1.18	concentration	Enzyme	0.02			mg/ml
261	Bos taurus	P00669 P61823	4.6.1.18	concentration	2',3'-Cyclic CMP	1.0E-4	0.002		M
261	Bos taurus	P00669 P61823	4.6.1.18	Km	2',3'-Cyclic CMP	6.4E-4		8.0E-5	M
261	Bos taurus	P00669 P61823	4.6.1.18	kcat/Km	2',3'-Cyclic CMP	2550.0		160.0	M^(-1)*s^(-1)
261	Bos taurus	P00669 P61823	4.6.1.18	kcat		1.61		0.1	s^(-1)
262	Bos taurus	P61823 P00669	4.6.1.18	concentration	Enzyme	0.02			mg/ml
262	Bos taurus	P61823 P00669	4.6.1.18	kcat/Km	2',3'-Cyclic CMP	2590.0		110.0	M^(-1)*s^(-1)
262	Bos taurus	P61823 P00669	4.6.1.18	Km	2',3'-Cyclic CMP	4.1E-4		2.0E-5	M
262	Bos taurus	P61823 P00669	4.6.1.18	concentration	2',3'-Cyclic CMP	1.0E-4	0.002		M
262	Bos taurus	P61823 P00669	4.6.1.18	kcat		1.07		0.04	s^(-1)
496	Bos taurus		7.1.1.8	Ki	Methoxyacrylate stilbene	3.1E-5			mol/mol
496	Bos taurus		7.1.1.8	Km	Ubiquinol	7.2E-5			M
496	Bos taurus		7.1.1.8	Ki	Famoxadone	1.95E-7			M
496	Bos taurus		7.1.1.8	Ki	Famoxadone	1.7E-4			mol/mol
496	Bos taurus		7.1.1.8	concentration	Ferricytochrome c	5.0E-5			M
496	Bos taurus		7.1.1.8	concentration	Famoxadone	0.0	2.0E-6		M
496	Bos taurus		7.1.1.8	concentration	Ubiquinol				-
496	Bos taurus		7.1.1.8	Ki	Methoxyacrylate stilbene	2.2E-8			M
496	Bos taurus		7.1.1.8	concentration	Enzyme	7.4E-8			M
496	Bos taurus		7.1.1.8	concentration	Methoxyacrylate stilbene	0.0	1.35E-7		M
497	Bos taurus		7.1.1.8	concentration	Ferricytochrome c	5.0E-5			M
497	Bos taurus		7.1.1.8	kcat/Km	Ubiquinol	153.333333			M^(-1)*s^(-1)
497	Bos taurus		7.1.1.8	concentration	Ubiquinol	1.36E-5	5.44E-5		M
497	Bos taurus		7.1.1.8	concentration	Famoxadone	1.0E-4			M
498	Bos taurus		7.1.1.8	concentration	Ubiquinol	2.72E-5	1.088E-4		M
498	Bos taurus		7.1.1.8	concentration	Methoxyacrylate stilbene	1.0E-4			M
498	Bos taurus		7.1.1.8	concentration	Ferricytochrome c	5.0E-5			M
498	Bos taurus		7.1.1.8	kcat/Km	Ubiquinol	75.0			M^(-1)*s^(-1)
1592	Bos taurus	P15101	1.14.17.1	concentration	N-(4-Methoxyphenyl)-N'-hydroxyguanidine	8.0E-4	0.005		M
1592	Bos taurus	P15101	1.14.17.1	Km	N-(4-Methoxyphenyl)-N'-hydroxyguanidine	0.0028			M
1592	Bos taurus	P15101	1.14.17.1	concentration	Tyramine	4.0E-4			M
1592	Bos taurus	P15101	1.14.17.1	Vmax		2.66666667E-8			M*s^(-1)
1593	Bos taurus	P15101	1.14.17.1	Vmax		4.16666667E-8			M*s^(-1)
1593	Bos taurus	P15101	1.14.17.1	Km	N-(4-Methoxyphenyl)-N'-hydroxyguanidine	0.0043			M
1593	Bos taurus	P15101	1.14.17.1	concentration	N-(4-Methoxyphenyl)-N'-hydroxyguanidine	8.0E-4	0.005		M
1593	Bos taurus	P15101	1.14.17.1	concentration	Tyramine	0.001			M
1594	Bos taurus	P15101	1.14.17.1	concentration	Tyramine	0.005			M
1594	Bos taurus	P15101	1.14.17.1	Vmax		7.16666667E-8			M*s^(-1)
1594	Bos taurus	P15101	1.14.17.1	Km	N-(4-Methoxyphenyl)-N'-hydroxyguanidine	0.0072			M
1594	Bos taurus	P15101	1.14.17.1	concentration	N-(4-Methoxyphenyl)-N'-hydroxyguanidine	8.0E-4	0.005		M
1595	Bos taurus	P15101	1.14.17.1	concentration	N-(4-Chlorophenyl)-N'-hydroxyguanidine	8.0E-4	0.005		M
1595	Bos taurus	P15101	1.14.17.1	Km	N-(4-Chlorophenyl)-N'-hydroxyguanidine	4.5E-4			M
1595	Bos taurus	P15101	1.14.17.1	concentration	Tyramine	0.005			M
2045	Bos taurus	Q07130	2.7.7.9	concentration	Diphosphate	0.002		-	M
2045	Bos taurus	Q07130	2.7.7.9	concentration	UDPglucose	4.0E-4		-	M
2045	Bos taurus	Q07130	2.7.7.9	Keq		0.2		-	-
2045	Bos taurus	Q07130	2.7.7.9	Km	D-Glucose 1-phosphate	5.5E-5		-	M
2045	Bos taurus	Q07130	2.7.7.9	Km	UDPglucose	6.0E-5		-	M
2045	Bos taurus	Q07130	2.7.7.9	Km	Diphosphate	8.4E-5		-	M
2045	Bos taurus	Q07130	2.7.7.9	Km	UTP	2.0E-4		-	M
2049	Bos taurus	Q3SZB7 Q2KJJ9	3.1.3.11	Vmax		2.16671E-9		-	katal*l^(-1)
2049	Bos taurus	Q3SZB7 Q2KJJ9	3.1.3.11	concentration	Phosphate	0.0	0.05	-	M
2049	Bos taurus	Q3SZB7 Q2KJJ9	3.1.3.11	Ki	Phosphate	0.0077		0.001	M
