EntryID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
263	Mus musculus	Q9QYR7	3.1.2.2	Km	Hexanoyl-CoA	1.09E-5			M
263	Mus musculus	Q9QYR7	3.1.2.2	Vmax		3.33333333E-7			mol*s^(-1)*g^(-1)
263	Mus musculus	Q9QYR7	3.1.2.2	concentration	Hexanoyl-CoA	0.0	2.5E-5		M
264	Mus musculus	Q9QYR7	3.1.2.2	Vmax		3.83333333E-6			mol*s^(-1)*g^(-1)
264	Mus musculus	Q9QYR7	3.1.2.2	Km	Octanoyl-CoA	4.62E-5			M
264	Mus musculus	Q9QYR7	3.1.2.2	concentration	Octanoyl-CoA	0.0	2.5E-5		M
265	Mus musculus	Q9QYR7	3.1.2.2	Vmax		1.45E-5			mol*s^(-1)*g^(-1)
265	Mus musculus	Q9QYR7	3.1.2.2	Km	Decanoyl-CoA	7.7E-6			M
265	Mus musculus	Q9QYR7	3.1.2.2	concentration	Decanoyl-CoA	0.0	2.5E-5		M
266	Mus musculus	Q9QYR7	3.1.2.2	concentration	Lauroyl-CoA	0.0	2.5E-5		M
266	Mus musculus	Q9QYR7	3.1.2.2	Vmax		2.33333333E-5			mol*s^(-1)*g^(-1)
266	Mus musculus	Q9QYR7	3.1.2.2	Km	Lauroyl-CoA	7.6E-6			M
267	Mus musculus	Q9QYR7	3.1.2.2	concentration	Myristoyl-CoA	0.0	2.5E-5		M
267	Mus musculus	Q9QYR7	3.1.2.2	Km	Myristoyl-CoA	3.8E-6			M
267	Mus musculus	Q9QYR7	3.1.2.2	Vmax		2.66666667E-5			mol*s^(-1)*g^(-1)
268	Mus musculus	Q9QYR7	3.1.2.2	Km	Palmitoyl-CoA	4.0E-6			M
268	Mus musculus	Q9QYR7	3.1.2.2	concentration	Palmitoyl-CoA	0.0	2.5E-5		M
268	Mus musculus	Q9QYR7	3.1.2.2	Vmax		3.08333333E-5			mol*s^(-1)*g^(-1)
269	Mus musculus	Q9QYR7	3.1.2.2	concentration	Palmitoleoyl-CoA	0.0	2.5E-5		M
269	Mus musculus	Q9QYR7	3.1.2.2	Vmax		1.55E-5			mol*s^(-1)*g^(-1)
269	Mus musculus	Q9QYR7	3.1.2.2	Km	Palmitoleoyl-CoA	2.8E-6			M
270	Mus musculus	Q9QYR7	3.1.2.2	Km	Stearoyl-CoA	4.2E-6			M
270	Mus musculus	Q9QYR7	3.1.2.2	Vmax		2.38333333E-5			mol*s^(-1)*g^(-1)
270	Mus musculus	Q9QYR7	3.1.2.2	concentration	Stearoyl-CoA	0.0	2.5E-5		M
271	Mus musculus	Q9QYR7	3.1.2.2	concentration	Oleoyl-CoA	0.0	2.5E-5		M
271	Mus musculus	Q9QYR7	3.1.2.2	Km	Oleoyl-CoA	4.6E-6			M
271	Mus musculus	Q9QYR7	3.1.2.2	Vmax		1.41666667E-5			mol*s^(-1)*g^(-1)
272	Mus musculus	Q9QYR7	3.1.2.2	Vmax		1.05E-5			mol*s^(-1)*g^(-1)
272	Mus musculus	Q9QYR7	3.1.2.2	Km	Linoleoyl-CoA	2.6E-6			M
272	Mus musculus	Q9QYR7	3.1.2.2	concentration	Linoleoyl-CoA	0.0	2.5E-5		M
273	Mus musculus	Q9QYR7	3.1.2.2	Km	Eicosanoyl-CoA	2.2E-6			M
273	Mus musculus	Q9QYR7	3.1.2.2	Vmax		1.18333333E-5			mol*s^(-1)*g^(-1)
273	Mus musculus	Q9QYR7	3.1.2.2	concentration	Eicosanoyl-CoA	0.0	2.5E-5		M
274	Mus musculus	Q9QYR7	3.1.2.2	concentration	Arachidonoyl-CoA	0.0	2.5E-5		M
