EntryID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
196	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Vmax		2.01666667E-6		-	M*s^(-1)*g^(-1)
196	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Km	D-Fructose 1,6-bisphosphate	1.0E-5		6.0E-7	M
197	Rattus norvegicus		2.7.1.11	Vmax		1.8E-6		1.0E-7	M*s^(-1)*g^(-1)
197	Rattus norvegicus		2.7.1.11	concentration	AMP	1.0E-5			M
197	Rattus norvegicus		2.7.1.11	Km	D-Fructose 6-phosphate	1.6E-4		-	M
197	Rattus norvegicus		2.7.1.11	concentration	D-Fructose 6-phosphate	0.0	0.001		M
197	Rattus norvegicus		2.7.1.11	concentration	ATP	2.5E-4			M
197	Rattus norvegicus		2.7.1.11	Hill coefficient	D-Fructose 6-phosphate	1.92			-
198	Rattus norvegicus		2.7.1.11	Vmax		1.78333333E-6		-	M*s^(-1)*g^(-1)
198	Rattus norvegicus		2.7.1.11	concentration	ATP	2.5E-4			M
198	Rattus norvegicus		2.7.1.11	Hill coefficient	D-Fructose 2,6-bisphosphate	1.92			-
198	Rattus norvegicus		2.7.1.11	concentration	D-Fructose 2,6-bisphosphate	1.0E-5			M
198	Rattus norvegicus		2.7.1.11	Km	D-Fructose 6-phosphate	8.1E-5		-	M
198	Rattus norvegicus		2.7.1.11	concentration	D-Fructose 6-phosphate	0.0	0.001		M
199	Rattus norvegicus		2.7.1.11	concentration	D-Fructose 6-phosphate	0.0	0.001		M
199	Rattus norvegicus		2.7.1.11	concentration	AMP	1.0E-5			M
199	Rattus norvegicus		2.7.1.11	concentration	D-Fructose 2,6-bisphosphate	1.0E-5			M
199	Rattus norvegicus		2.7.1.11	Vmax		2.1E-6		1.5E-7	M*s^(-1)*g^(-1)
199	Rattus norvegicus		2.7.1.11	Hill coefficient	D-Fructose 6-phosphate	1.92			-
199	Rattus norvegicus		2.7.1.11	concentration	ATP	2.5E-4			M
199	Rattus norvegicus		2.7.1.11	Km	D-Fructose 6-phosphate	8.5E-5		6.0E-6	M
200	Rattus norvegicus		2.7.1.11	concentration	D-Fructose 6-phosphate	0.0	0.001		M
200	Rattus norvegicus		2.7.1.11	Vmax		1.71666667E-6		-	M*s^(-1)*g^(-1)
200	Rattus norvegicus		2.7.1.11	Hill coefficient	D-Fructose 6-phosphate	1.92			-
200	Rattus norvegicus		2.7.1.11	concentration	ATP	2.5E-4			M
200	Rattus norvegicus		2.7.1.11	Km	D-Fructose 6-phosphate	1.97E-4		-	M
201	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	AMP	1.0E-5			M
201	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	D-Fructose 1,6-bisphosphate	0.0	5.0E-5		M
201	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Km	D-Fructose 1,6-bisphosphate	1.3E-5		9.0E-7	M
201	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Vmax		1.88333333E-6		1.33333E-7	M*s^(-1)*g^(-1)
202	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	D-Fructose 1,6-bisphosphate	0.0	5.0E-5		M
202	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Vmax		1.86666667E-6		-	M*s^(-1)*g^(-1)
202	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	D-Fructose 2,6-bisphosphate	1.0E-5			M
202	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Km	D-Fructose 1,6-bisphosphate	1.8E-5		9.0E-7	M
203	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	D-Fructose 2,6-bisphosphate	1.0E-5			M
203	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	D-Fructose 1,6-bisphosphate	0.0	5.0E-5		M
203	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	concentration	AMP	1.0E-5			M
203	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Km	D-Fructose 1,6-bisphosphate	1.0E-4		-	M
203	Rattus norvegicus	Q9Z1N1 P19112	3.1.3.11	Vmax		2.16666667E-6		-	M*s^(-1)*g^(-1)
204	Rattus norvegicus		5.3.1.9	Vmax		6.66666667E-6		-	M*s^(-1)*g^(-1)
204	Rattus norvegicus		5.3.1.9	Km	D-Glucose 6-phosphate	1.4E-4		-	M
204	Rattus norvegicus		5.3.1.9	concentration	D-Glucose 6-phosphate	0.001			M
205	Rattus norvegicus		5.3.1.9	Vmax		7.83333333E-6		5.16667E-7	M*s^(-1)*g^(-1)
205	Rattus norvegicus		5.3.1.9	Km	D-Glucose 6-phosphate	1.4E-4		-	M
205	Rattus norvegicus		5.3.1.9	concentration	D-Glucose 6-phosphate	0.001			M
205	Rattus norvegicus		5.3.1.9	concentration	AMP	1.0E-5			M
206	Rattus norvegicus		5.3.1.9	Km	D-Glucose 6-phosphate	1.5E-4		1.4E-5	M
206	Rattus norvegicus		5.3.1.9	Vmax		8.33333333E-6		-	M*s^(-1)*g^(-1)
206	Rattus norvegicus		5.3.1.9	concentration	D-Glucose 6-phosphate	0.001			M
