EntryID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
987	Sus scrofa		1.8.5.1	concentration	Reduced glutathione	0.006			M
987	Sus scrofa		1.8.5.1	Km	Dehydroascorbate	3.2E-4		2.0E-5	M
987	Sus scrofa		1.8.5.1	kcat/Km	Dehydroascorbate	23400.0		1500.0	M^(-1)*s^(-1)
987	Sus scrofa		1.8.5.1	kcat		7.56666667		0.283333	s^(-1)
988	Sus scrofa		1.8.5.1	Km	Reduced glutathione	0.0052		3.0E-4	M
988	Sus scrofa		1.8.5.1	concentration	Dehydroascorbate	0.0045			M
988	Sus scrofa		1.8.5.1	kcat/Km	Reduced glutathione	2190.0		170.0	M^(-1)*s^(-1)
988	Sus scrofa		1.8.5.1	kcat		11.4333333		0.4	s^(-1)
989	Sus scrofa		1.8.5.1	Km	Dehydroascorbate	5.1E-4		2.0E-5	M
989	Sus scrofa		1.8.5.1	kcat/Km	Dehydroascorbate	22400.0		1300.0	M^(-1)*s^(-1)
989	Sus scrofa		1.8.5.1	concentration	Reduced glutathione	0.006			M
989	Sus scrofa		1.8.5.1	kcat		11.4333333		0.4	s^(-1)
990	Sus scrofa		1.8.5.1	kcat/Km	Reduced glutathione	2040.0		180.0	M^(-1)*s^(-1)
990	Sus scrofa		1.8.5.1	Km	Reduced glutathione	0.0037		3.0E-4	M
990	Sus scrofa		1.8.5.1	concentration	Dehydroascorbate	0.0045			M
990	Sus scrofa		1.8.5.1	kcat		7.56666667		0.283333	s^(-1)
1003	Sus scrofa	P33198	1.1.1.42	Km	Mn2+	3.3E-7		6.0E-8	M
1003	Sus scrofa	P33198	1.1.1.42	Vmax		7.15E-4		1.66667E-5	mol*s^(-1)*g^(-1)
1003	Sus scrofa	P33198	1.1.1.42	Km	NADP+	5.59E-6		4.2E-7	M
1003	Sus scrofa	P33198	1.1.1.42	concentration	NADP+	0.0	0.001		M
1003	Sus scrofa	P33198	1.1.1.42	Km	Isocitrate	8.37E-6		9.6E-7	M
1003	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.002		M
1003	Sus scrofa	P33198	1.1.1.42	concentration	Isocitrate	0.0	0.004		M
1004	Sus scrofa	P33198	1.1.1.42	concentration	Mn2+	0.0	0.01		M
