,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.01,0.0,1000.0,0.0,0.01,Acetate production,False,False
ALCD2if,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALCD2yf,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,False,True
ALDD2x,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ACSm,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.0,Arginine degradation,False,False
ARGDCm,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
NABTNOm,0.0,0.0,0.0,0.0,0.0,Arginine degradation,True,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,4.442804589241421,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,4.432804589241424,Asparagine synthesis,False,False
APAT2rm,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,False,False
MMSAD3m,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,True,False
MMSAD3m2_MitoCore,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,False,True
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
PPAt,0.0,-1000.0,0.0,-1.5979873254894654,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
2HBt2,0.0,-1000.0,0.0,-0.0109929328621908,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.3214783003511687,-1000.0,1000.0,-0.2532910663086209,0.3292910663086193,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.917858823529411,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,0.0,-1000.0,0.0,-1.9178588235294136,0.0,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.0894303554362067,0.0,Boundary Conditions - Biomarkers,False,False
r1088,0.0,-1000.0,0.0,-1.4143764546481554,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.9178588235294127,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.1306455331543096,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.4143764546481554,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.2682910663086225,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.7972500053892966,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,-0.8424912773571469,-1000.0,0.0,-1.6068343929806013,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,-0.01,-0.01,0.01,-0.01,0.0,Boundary Conditions - Biomarkers,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.0038798586572438,0.0,Boundary Conditions - Biomarkers,False,False
PSt3,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Lipids,False,False
PEt,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Lipids,False,False
TCYNTt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
FE2t,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
