,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,subsystem
1PPDCRc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
1PPDCRc_NADPH_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2HBO,-0.012,0.0,-0.012,0.0,0.0,0.0,Threonine and Methionine degradation
2HBt2,-0.012,0.0,-0.012,0.0,0.0,0.0,Boundary Conditions - Biomarkers
2OXOADOXm,0.03,0.03,0.030000000000000002,0.030000000000000002,0.008603773584905659,0.008603773584905659,Tryptophan / Lysine Metabolism 
34HPPOR,0.0,0.0,0.0,0.0,0.022858823529411765,0.022858823529411765,Tyrosine degradation
3HBCOAHLm,0.011000000000001012,0.011,0.011,0.011,0.002416184971098266,0.0024161849710982956,Valine degradation
3SALATAi,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
3SPYRSP,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
4ABUTtm,0.0,0.0,0.0,0.0,0.8481533125361351,0.0,GABA shunt - transport
4aabutn_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
5AOPtm,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
AACTOORm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
AASAD3m,0.0,0.0,0.0,0.0,0.0043018867924528295,0.0043018867924528295,Lysine degradation (saccharopine pathway)
ABTArm,0.0,0.0,0.0,0.0,0.8481533125361351,0.0,GABA shunt
ABUTD,0.0,0.0,0.0,0.0,0.0,0.0,Ornithine degradation (cytosolic)
ACACT10m,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Isoleucine degradation
ACACT1rm,-0.682304347826087,-0.6776739130434728,-0.6823043478260874,-0.6776739130434725,-0.5604710494605712,-0.5007729898107054,FA and ketone body metabolism / Ketogenesis
ACACt2,0.114,0.114,0.114,0.114,0.114,0.03343952224411644,Boundary conditions - core
ACACt2mB_MitoCore,0.114,0.114,0.114,0.114,0.13685882352941175,0.056298345773528206,Mitochondrial transporters - characterised
ACADLC14_MitoCore,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,FA metabolism
ACADLC16_MitoCore,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,FA metabolism
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACCOAC,0.0,0.0,0.0,0.0,0.0,0.07548076923078405,FA synthesis - cytosolic
ACCOALm,0.0,0.0,0.0,0.0,0.0,0.0,Propanoate metabolism
