,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,subsystem
1PPDCRc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
1PPDCRc_NADPH_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2AMADPTmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2AMADPTmC_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2HBO,-0.016999999999999005,-0.016999999999995453,-0.016999999999995453,-0.016999999999995453,-0.017,-0.0109929328621879,-0.0109929328621879,Threonine and Methionine degradation
2HBt2,-0.017000000000096563,-0.017,-0.017,-0.017,-0.017,-0.0109929328621879,-0.0109929328621879,Boundary Conditions - Biomarkers
2OXOADOXm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan / Lysine Metabolism 
2OXOADPTmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
2OXOADPTmC_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
34HPPOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyrosine degradation
3HAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
3HBCOAHLm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valine degradation
3SALATAi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
3SPYRSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
4ABUTtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GABA shunt - transport
4aabutn_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
5AOPtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
AACTOORm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
AASAD3m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (saccharopine pathway)
ABTArm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GABA shunt
