,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,subsystem
1PPDCRc_MitoCore,0.03,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
1PPDCRc_NADPH_MitoCore,0.03,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2AMADPTmB_MitoCore,74.66030486539555,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2AMADPTmC_MitoCore,74.66030486539549,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2HBO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Threonine and Methionine degradation
2HBt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
2OXOADOXm,0.038,0.03,0.03,0.03,0.03,0.00860377358490566,0.00860377358490566,Tryptophan / Lysine Metabolism 
2OXOADPTmB_MitoCore,37.33015243269777,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
2OXOADPTmC_MitoCore,37.33015243269777,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
34HPPOR,0.023,0.022999999999999993,0.02300000000000002,0.023,0.02300000000000002,0.022858823529411793,0.0228588235294118,Tyrosine degradation
3HAO,0.008,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
3HBCOAHLm,0.011,0.011,0.01099999999999825,0.011,0.011,0.00241618497109827,0.0024161849710983,Valine degradation
3SALATAi,0.005999999999996928,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
3SPYRSP,0.005999999999996928,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
4ABUTtm,7.4556086956521765,7.452565217391306,0.0,7.452565217391306,0.0,3.193956521739131,0.0,GABA shunt - transport
4aabutn_MitoCore,0.16849999999999746,0.1644999999999999,0.0,0.16450000000000908,0.0,0.13414553315430683,0.0,Arginine degradation
5AOPtm,0.7110000000000001,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
AACTOORm_MitoCore,0.7110000000000001,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
AASAD3m,0.03,0.03,0.03,0.03,0.03,0.00430188679245283,0.00430188679245283,Lysine degradation (saccharopine pathway)
ABTArm,7.4556086956521765,7.452565217391306,0.0,7.452565217391306,0.0,3.193956521739131,0.0,GABA shunt
ABUTD,0.3299999999999931,0.32200000000000006,0.0,0.322,0.0,0.261291066308616,0.0,Ornithine degradation (cytosolic)
ACACT10m,0.004,0.004,0.004,0.004,0.004,0.00216170212765957,0.00216170212765957,Isoleucine degradation
ACACT1rm,-0.33382084754096775,-0.3387533782932865,-0.33382009314392175,-0.33875337829328656,-0.33382009314392275,-0.2806874212847049,-0.24395806885298701,FA and ketone body metabolism / Ketogenesis
ACACt2,0.114,0.114,0.114,0.114,0.114,0.114,0.114,Boundary conditions - core
ACACt2mB_MitoCore,0.137,0.137,0.137,0.137,0.137,0.1368588235294118,0.1368588235294118,Mitochondrial transporters - characterised
ACADLC14_MitoCore,16.926388594947248,16.92493307446435,9.8929996889428,16.924933074464363,9.892999688942798,4.6683765679832625,2.785573424804792,FA metabolism
ACADLC16_MitoCore,16.926388594947177,16.92493307446436,9.892999688942794,16.924933074464356,9.892999688942798,4.6683765679832625,2.78557342480479,FA metabolism
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACCOAC,1.71,0.0,1.71,0.0,1.71,0.0,1.2552447039472057,FA synthesis - cytosolic
ACCOALm,13.825982382480653,13.823508119835068,13.824595698053948,13.82350811983506,13.824595698053962,9.806888964148094,9.111876100107366,Propanoate metabolism
ACITL,1.9642857142857142,0.0,1.9642857142857142,0.0,1.964285714285716,0.0,1.4380306693112166,Reductive carboxylation / Acetyl-CoA production for biosynthesis
ACITLm_MitoCore,27.651964764961253,0.0,27.649191396107895,0.0,27.64919139610789,0.0,18.223752200214776,TCA cycle periphery
ACOAHi,10.092208052323741,0.0,0.01,0.0,0.01,0.0,0.01,Acetate production
ACOATA,0.24428571428571424,0.0,0.2442857142857143,0.0,0.24428571428571422,0.0,0.17932067199245794,FA synthesis - cytosolic
ACONT,74.62286438587454,74.60950336758214,74.65281676949134,74.60950336758926,74.65281676949125,52.86093667013607,49.10786720431617,Reductive carboxylation
ACONTm,81.56097616974326,81.55765862971802,81.47820807383923,81.55765862971805,81.4782080738391,57.90817397693658,54.08191278121275,TCA cycle
ACOT2_MitoCore,0.7116913506362881,0.7032446396410783,0.7080912074727681,0.7032446396410779,0.708091207472768,0.7418130216540834,0.7911272496314105,Fatty acid elongation in mitochondria
ACS,10.089230387215649,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACSm,0.1684999999999999,0.1644999999999995,0.0,0.1645,0.0,0.13414553315430955,0.0,Alcohol metabolism
ACt2r,0.01,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ADK1,10.558904300259057,7.374684317218206,7.373286086353919,7.374684317218221,7.3732860863539145,5.40153585264614,5.05783817125967,Cytosolic misc
ADK1m,13.830617170880515,13.82814290823503,13.829230486453937,13.828142908235094,13.829230486453952,9.812888964148097,9.117876100107395,TCA cycle periphery
