,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.0,0.0,1000.0,0.0,0.0,Acetate production,False,False
ALCD2if,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,True,False
ALCD2yf,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,False,True
ALDD2x,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,True,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ACSm,0.0,0.0,1000.0,0.0,0.1645,Alcohol metabolism,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.1644999999999999,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.1644999999999999,Arginine degradation,False,False
ARGDCm,0.0,0.0,1000.0,0.0,0.1644999999999999,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.1644999999999999,Arginine degradation,False,False
NABTNOm,0.0,0.0,1000.0,0.0,0.1644999999999999,Arginine degradation,True,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.1644999999999999,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,6.734949896135977,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,6.7249498961359775,Asparagine synthesis,False,False
APAT2rm,0.0,-1000.0,1000.0,0.0,0.0,Beta-alanine degradation,False,False
MMSAD3m,0.0,0.0,1000.0,0.0,0.0,Beta-alanine degradation,True,False
MMSAD3m2_MitoCore,0.0,0.0,1000.0,0.0,0.0,Beta-alanine degradation,False,True
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
PPAt,-0.015000000000001,-1000.0,0.0,-0.0319999999999954,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,-3.0861516881885165,0.0,Boundary Conditions - Biomarkers,False,False
2HBt2,-0.012,-1000.0,0.0,-0.0169999999999954,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.3620000000000409,-1000.0,1000.0,-0.314,0.39,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,0.0,-1000.0,0.0,-1.918000000000001,0.0,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.1096666666666656,0.0,Boundary Conditions - Biomarkers,False,False
r1088,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.161,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.9180000000000008,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.3289999999999955,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.918000000000001,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,0.0,-0.01,0.01,0.0,0.0,Boundary Conditions - Biomarkers,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.0059999999999957,0.0,Boundary Conditions - Biomarkers,False,False
PSt3,0.0,-1000.0,1000.0,0.0,2.5717930734904315,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,-6.51520911950909,0.0,Boundary Conditions - Lipids,False,False
PEt,0.0,-1000.0,1000.0,0.0,2.9146988166224856,Boundary Conditions - Lipids,False,False
TCYNTt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
FE2t,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
r1423,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
CYANt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
