,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.0,0.0,1000.0,0.0,0.0,Acetate production,False,False
ALCD2if,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALCD2yf,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,False,True
ALDD2x,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ACSm,0.0,0.0,1000.0,0.0,0.1341455331543096,Alcohol metabolism,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.1341455331543022,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.1341455331543022,Arginine degradation,False,False
ARGDCm,0.0,0.0,1000.0,0.0,0.1341455331543017,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.1341455331543022,Arginine degradation,False,False
NABTNOm,0.0,0.0,0.1625937768240343,0.0,0.1341455331543022,Arginine degradation,True,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.1341455331543022,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,4.780918955531322,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,4.770918955531319,Asparagine synthesis,False,False
APAT2rm,0.0,-1000.0,1000.0,0.0,0.0,Beta-alanine degradation,False,False
MMSAD3m,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,True,False
MMSAD3m2_MitoCore,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,False,True
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
PPAt,-0.013765121141311,-1000.0,0.0,-0.0137651211413088,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,-1.9278504570566424,0.0,Boundary Conditions - Biomarkers,False,False
2HBt2,0.0,-1000.0,0.0,-0.0109929328621879,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.2656817395370586,-1000.0,1000.0,-0.2532910663086191,0.3292910663086741,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.7060130064044816,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,-0.8279635970383663,-1000.0,0.0,-1.9178588235294152,0.0,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.0894303554362089,0.0,Boundary Conditions - Biomarkers,False,False
r1088,0.0,-1000.0,0.0,-1.1541747364954986,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.7060130064045058,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.1306455331543368,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.1541747364954986,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.2682910663086187,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.547391199441056,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,0.0,-1000.0,0.0,-1.308301802832348,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,0.0,-0.01,0.01,0.0,0.0,Boundary Conditions - Biomarkers,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.0038798586572417,0.0,Boundary Conditions - Biomarkers,False,False
PSt3,0.0,-1000.0,1000.0,0.0,1.6065420475471983,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,-4.069906520452903,0.0,Boundary Conditions - Lipids,False,False
PEt,0.0,-1000.0,1000.0,0.0,1.8207476538868328,Boundary Conditions - Lipids,False,False
TCYNTt,0.001,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
FE2t,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
r1423,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
CYANt,0.001,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
COt,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
r0940,0.0,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
SO3t_MitoCore,0.0,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
H2Ot,-12.400879021979849,-1000.0,1000.0,-13.127618741121182,-0.7559525851250299,Boundary Conditions - Misc,False,False
Hct_MitoCore,2.988103974912534,-1000.0,1000.0,-1.8797381956073629,297.1967728993554,Boundary Conditions - Misc,False,False
Hmt_MitoCore,-2.606463412257213,-1000.0,1000.0,-296.8689288975015,3.10357019227808,Boundary Conditions - Misc,False,False
TSULt_MitoCore,0.0,-1000.0,1000.0,-0.006,0.0,Boundary Conditions - Misc,False,False
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NOt,0.0,-1000.0,1000.0,-0.2612910663086192,0.0,Boundary Conditions - Misc,False,False
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
r0899,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
r0942,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
r0942b_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
GLYCt,-0.01,-0.01,1000.0,-0.01,0.5830869694971418,Boundary conditions - alternative fuels,False,False
BUTt2r,0.006,-1000.0,0.006,0.0,0.006,Boundary conditions - alternative fuels,False,False
ETOHt,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
O2t,14.497733906039263,0.0,19.8,11.076158160212426,15.020283071623382,Boundary conditions - core,False,False
HDCAtr,0.3835616438356163,-1000.0,1.0,0.244914073129861,1.0,Boundary conditions - core,False,False
BHBt,0.0168,0.0,0.048,0.0,0.0168,Boundary conditions - core,False,False
Biomass_MitoCore,-71.56378433296975,-1000.0,0.0,-71.56378433296909,-57.25102746637582,Boundary conditions - core,False,False
ACACt2,0.114,0.0,0.114,0.0,0.114,Boundary conditions - core,False,False
HDCAtm_MitoCore,0.0,-1000.0,0.0,-0.7418130216540834,0.0,Boundary conditions - core,False,False
L_LACt2r,0.3718197879858657,-1000.0,0.575,-1.329174911660769,0.3718197879858657,Boundary conditions - core,False,False
HCO3t_MitoCore,1.5108424134759562,-1000.0,1.71,0.0,1.71,Boundary conditions - core,False,False
GLCt1r,0.8523684210526316,-1000.0,0.9,0.0097441241354554,0.9,Boundary conditions - core,False,False
CO2t,-12.178192149229094,-1000.0,1000.0,-13.461538465033966,-7.913282002324003,Boundary conditions - core,False,False
PHEtec,0.0118588235294117,0.0,0.012,0.0,0.012,Boundary conditions - essential amino acids,False,False
r2534,0.0091872340425531,0.0,0.012,0.0,0.012,Boundary conditions - essential amino acids,False,False
VALtec,0.0024161849710982,0.0,0.011,0.0,0.0073464175292568,Boundary conditions - essential amino acids,False,False
