,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.01,0.0,1000.0,0.0,0.01,Acetate production,False,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ALDD2x,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ACSm,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ACS,,,,,,Alcohol metabolism,False,False
ALCD2yf,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,False,True
ALCD2if,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
NABTNOm,0.0,0.0,0.0,0.0,0.0,Arginine degradation,True,False
ARGDCm,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.0,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.0,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,4.442804589241427,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,4.432804589241428,Asparagine synthesis,False,False
APAT2rm,,,,,,Beta-alanine degradation,False,False
MMSAD3m2_MitoCore,,,,,,Beta-alanine degradation,False,True
MMSAD3m,,,,,,Beta-alanine degradation,True,False
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
r1088,0.0,-1000.0,0.0,-1.414376454648155,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,-0.01,-0.01,0.01,-0.01,0.0,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.0894303554362063,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.2682910663086214,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.1306455331543096,Boundary Conditions - Biomarkers,False,False
2HBt2,0.0,-1000.0,0.0,-0.0109929328621879,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.9178588235294105,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.321478300351173,-1000.0,1000.0,-0.2532910663086193,0.3292910663086193,Boundary Conditions - Biomarkers,False,False
PPAt,0.0,-1000.0,0.0,-1.5979873254894694,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.797250005389301,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,0.0,-1000.0,0.0,-1.9178588235294107,0.0,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.4143764546481554,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.917858823529412,0.0,Boundary Conditions - Biomarkers,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.0038798586572408,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,-0.8424912773571496,-1000.0,0.0,-1.6068343929805984,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
PSt3,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Lipids,False,False
PEt,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Lipids,False,False
H2Ot,-10.748003434819678,-1000.0,1000.0,-12.040838704053783,-3.028802775845328,Boundary Conditions - Misc,False,False
TSULt_MitoCore,-0.001,-1000.0,1000.0,-0.0060000000000043,0.0,Boundary Conditions - Misc,False,False
COt,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
FE2t,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
Hct_MitoCore,1.2929651097965702,-1000.0,1000.0,-2.0028940377884807,274.6502481130184,Boundary Conditions - Misc,False,False
r0940,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
SO3t_MitoCore,0.001,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
CYANt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
NOt,0.0,-1000.0,1000.0,-0.2612910663086221,0.0,Boundary Conditions - Misc,False,False
r0899,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
r1423,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
Hmt_MitoCore,-1.7207767518266412,-1000.0,1000.0,-275.07805975504834,2.190078835452512,Boundary Conditions - Misc,False,False
TCYNTt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
r0942,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
r0942b_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
ETOHt,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
BUTt2r,0.006,-1000.0,0.006,0.0,0.006,Boundary conditions - alternative fuels,False,False
GLYCt,-0.01,-0.01,1000.0,-0.01,0.0,Boundary conditions - alternative fuels,False,False
ACACt2,0.0334395222441226,0.0,0.114,0.0,0.114,Boundary conditions - core,False,False
HDCAtr,0.3936410949086578,-1000.0,1.0,0.1947174892829946,1.0,Boundary conditions - core,False,False
BHBt,0.0168,0.0,0.048,0.0,0.0168,Boundary conditions - core,False,False
Biomass_MitoCore,-66.49206883862149,-1000.0,0.0,-66.49206883862234,-53.19365507089719,Boundary conditions - core,False,False
HDCAtm_MitoCore,0.0,-1000.0,0.0,-0.7911272496314075,0.0,Boundary conditions - core,False,False
HCO3t_MitoCore,0.7187600315691418,-1000.0,1.71,0.0,1.71,Boundary conditions - core,False,False
O2t,13.274932578893116,0.0,19.8,10.237314971543343,13.60468879917278,Boundary conditions - core,False,False
L_LACt2r,0.3718197879858657,-1000.0,0.575,-1.349867491166074,0.3718197879858657,Boundary conditions - core,False,False
CO2t,-10.513222120701672,-1000.0,1000.0,-11.96606611429084,-6.932188932074012,Boundary conditions - core,False,False
GLCt1r,0.8523684210526317,-1000.0,0.9,0.0,0.8573684210526314,Boundary conditions - core,False,False
HIStiDF,0.01,0.0,0.01,0.0,0.01,Boundary conditions - essential amino acids,False,False
TRPt,0.0,0.0,0.008,0.0,0.0001860465116279,Boundary conditions - essential amino acids,False,False
VALtec,0.0024161849710981,0.0,0.011,0.0,0.0073464175292378,Boundary conditions - essential amino acids,False,False
ILEtec,0.0021617021276595,0.0,0.004,0.0,0.004,Boundary conditions - essential amino acids,False,False
LEUtec,0.0086468085106383,0.0,0.016,0.0,0.016,Boundary conditions - essential amino acids,False,False
LYStiDF,0.0086037735849056,0.0,0.03,0.0,0.0168828433523475,Boundary conditions - essential amino acids,False,False
r2534,0.0091872340425531,0.0,0.012,0.0,0.012,Boundary conditions - essential amino acids,False,False
METtec,0.0,0.0,0.005,0.0,0.005,Boundary conditions - essential amino acids,False,False
PHEtec,0.0118588235294117,0.0,0.012,0.0,0.012,Boundary conditions - essential amino acids,False,False
ARGtiDF,0.007,-1000.0,0.007,-0.0824303554362058,0.007,Boundary conditions - nonessential amino acids,False,False
GLYt2r,0.009,-1000.0,0.009,-0.4591974492873427,0.009,Boundary conditions - nonessential amino acids,False,False
r2525,0.0,-1000.0,0.0,-0.2612910663086189,0.0,Boundary conditions - nonessential amino acids,False,False
GLUt_MitoCore,0.0,-1000.0,0.0,-0.261291066308619,0.0,Boundary conditions - nonessential amino acids,False,False
ALAt2r,0.01,-1000.0,0.01,-0.2512910663086218,0.01,Boundary conditions - nonessential amino acids,False,False
TYRt,0.011,-1000.0,0.011,-0.0118588235294118,0.011,Boundary conditions - nonessential amino acids,False,False
r2532,0.01,-1000.0,0.01,-0.2512910663086174,0.01,Boundary conditions - nonessential amino acids,False,False
PROt2r,0.004,-1000.0,0.004,-0.2572910663086278,0.004,Boundary conditions - nonessential amino acids,False,False
r2526,0.017,-1000.0,0.017,-0.2652910663086193,0.017,Boundary conditions - nonessential amino acids,False,False
CYStec,0.001,-1000.0,0.001,-0.0050000000000025,0.001,Boundary conditions - nonessential amino acids,False,False
ASPte,-0.154,-0.154,1000.0,-0.154,0.1072910663086192,Boundary conditions - nonessential amino acids,False,False
FACOAL40im,0.006,0.0,1000.0,0.0,0.006,Butanoate metabolism,False,False
GLYC3Ptm,0.0,0.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
NDPK3m,,,,,,Cardiolipin synthesis,False,False
CYTK1m,0.0,-1000.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
GLYK,0.01,0.0,1000.0,0.0,0.01,Cardiolipin synthesis,False,False
GPAMm_hsB_MitoCore,0.0,0.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
CLS_hsm_MitoCore,0.0,0.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
CLPN_MitoCore,0.0,-1000.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
PGPP_hsm_MitoCore,0.0,0.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
CDSm,0.0,-1000.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
PCHOLPm_hs,,,,,,Cardiolipin synthesis,False,False
PGPPTm,0.0,0.0,1000.0,0.0,0.0,Cardiolipin synthesis,False,False
AGPAT1B_MitoCore,,,,,,Cardiolipin synthesis,False,False
PPAm,0.006,-1000.0,1000.0,0.0,9.117876100107384,Carnitine shuttle,False,False
PPA,0.4044240619416293,0.0,1000.0,0.2081847206981351,5.057838171259672,Carnitine shuttle,False,False
r2435,0.4044240619416318,-1000.0,1000.0,0.2081847206981351,1.1684137091717377,Carnitine shuttle,False,False
FACOAL160i,0.4044240619416293,0.0,1000.0,0.2081847206981351,1.168413709171738,Carnitine shuttle,False,False
C160CPT2,0.4044240619416318,-1000.0,1000.0,0.2081847206981336,1.1684137091717377,Carnitine shuttle,False,False
C160CPT1,0.4044240619416318,-1000.0,1000.0,0.2081847206981336,1.168413709171738,Carnitine shuttle,False,False
CBPSam,0.0,0.0,1000.0,0.0,0.2612910663086218,Citrulline biosynthesis,False,False
OCBTm,0.0,0.0,1000.0,0.0,0.2612910663086218,Citrulline biosynthesis,False,False
CK,0.0,-1000.0,1000.0,-948.1047123298116,1000.0,Creatine ATP buffer,False,False
CKc,0.0,-1000.0,1000.0,-1000.0,948.1047123298116,Creatine ATP buffer,False,False
3SALATAi,0.0,-1000.0,1000.0,0.0,0.0,Cysteine degradation I,False,False
3SPYRSP,0.0,-1000.0,1000.0,0.0,0.0,Cysteine degradation I,False,False
CYSO,,,,,,Cysteine degradation I,False,False
CYSTA,0.0,-1000.0,1000.0,0.0,0.006,Cysteine degradation II,False,False
CYSTAm,0.001,-1000.0,1000.0,0.0,0.006,Cysteine degradation II,False,False
r0595B_MitoCore,0.0,0.0,1000.0,0.0,0.006,Cysteine degradation II,False,False
MCPST,0.0,0.0,1000.0,0.0,0.006,Cysteine degradation II,False,False
MCLOR,0.0,-0.0038798586572408,0.0,-0.0038798586572408,0.0,Cysteine degradation II,True,False
r0595m_MitoCore,0.001,0.0,1000.0,0.0,0.006,Cysteine degradation II,False,False
MCPSTm_MitoCore,0.0,0.0,1000.0,0.0,0.006,Cysteine degradation II,False,False
r0193,0.0,0.0,1000.0,0.0,0.006,Cysteine degradation III,False,False
ME2,0.0,0.0,1.506798100608396,0.0,1.4817566329728469,Cytosolic misc,False,True
FUM,0.0228588235294073,-1000.0,1000.0,-1.895,27.058095604067795,Cytosolic misc,False,False
NDPK1,0.0,-1000.0,1000.0,-1.714736842105263,2.1705030813274004,Cytosolic misc,False,False
ALATA_L,0.009,-1000.0,1000.0,-0.2028588235294117,273.36528300322175,Cytosolic misc,False,False
ADK1,0.4044240619416249,-1000.0,1000.0,0.2081847206981351,5.05783817125967,Cytosolic misc,False,False
CIII_MitoCore,26.395555689785525,-1000.0,1000.0,20.42617072983651,26.426178704753173,Electron transport chain,False,False
CII_MitoCore,3.9737919481533366,-1000.0,1000.0,2.176541942764037,3.973791948153337,Electron transport chain,False,False
CIV_MitoCore,13.197777844892762,0.0,1000.0,10.213085364918255,13.213089352376585,Electron transport chain,False,False
CV_MitoCore,62.55896341304457,-1000.0,1000.0,48.13908505152769,67.5045988351247,Electron transport chain,False,False
CI_MitoCore,19.57826341211773,-1000.0,1000.0,6.718587016366689,19.58325841711271,Electron transport chain,True,False
ACACT1rm,-0.5007729898107103,-1000.0,1000.0,-0.5813334675665872,-0.243958068852987,FA and ketone body metabolism / Ketogenesis,False,False
r1450,0.4044240619416318,0.0,1000.0,0.2081847206981336,2.785573424804792,FA metabolism,False,False
r0731,0.4044240619416318,-1000.0,1000.0,0.2081847206981336,0.4044240619416318,FA metabolism,False,False
r0734,0.4044240619416318,-1000.0,1000.0,0.2081847206981336,0.4044240619416319,FA metabolism,False,False
r0730,0.4044240619416318,0.0,1.0506924868661378,0.2081847206981336,0.4044240619416318,FA metabolism,True,False
