,mitocore,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,subsystem
ACOAHi,10.09220805232374,0.0,0.01,0.0,0.01,0.0,0.01,Acetate production
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2xm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACSm,0.1684999999999999,0.1644999999999995,0.0,0.1645,0.0,0.1341455331543095,0.0,Alcohol metabolism
ACS,10.089230387215649,,,,,,,Alcohol metabolism
ALCD2yf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALCD2if,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
NABTNOm,0.1684999999999974,0.1644999999999999,0.0,0.164500000000009,0.0,0.1341455331543068,0.0,Arginine degradation
ARGDCm,0.1684999999999974,0.1644999999999998,0.0,0.1645000000000086,0.0,0.134145533154308,0.0,Arginine degradation
4aabutn_MitoCore,0.1684999999999974,0.1644999999999999,0.0,0.164500000000009,0.0,0.1341455331543068,0.0,Arginine degradation
APRTO2m_MitoCore,0.1684999999999974,0.1644999999999999,0.0,0.164500000000009,0.0,0.1341455331543068,0.0,Arginine degradation
PTRCAT1m_MitoCore,0.1684999999999974,0.1644999999999999,0.0,0.164500000000009,0.0,0.1341455331543068,0.0,Arginine degradation
AGMTm,0.1684999999999974,0.1644999999999999,0.0,0.164500000000009,0.0,0.1341455331543068,0.0,Arginine degradation
r0127,6.736153591477067,6.734949896135972,6.735478988242457,6.734949896135977,6.735478988242464,4.7809189555313205,4.442804589241427,Asparagine degradation
ASNS1,6.726153591477062,6.724949896135972,6.7254789882424575,6.7249498961359775,6.725478988242463,4.770918955531319,4.432804589241428,Asparagine synthesis
APAT2rm,0.0,0.0,,0.0,,0.0,,Beta-alanine degradation
MMSAD3m2_MitoCore,0.0,0.0,,0.0,,0.0,,Beta-alanine degradation
MMSAD3m,0.0,0.0,,0.0,,0.0,,Beta-alanine degradation
ASP1DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis
r1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ACt2r,0.01,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ARGSUCt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
UREAt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
r0817,0.1649999999999977,0.161,0.1609999999999977,0.161,0.1609999999999999,0.1306455331543113,0.1306455331543096,Boundary Conditions - Biomarkers
2HBt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
FUMt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
NH4t3r,0.4059999999999955,0.39,0.3899999999999954,0.39,0.3900000000000002,0.3292910663086227,0.3292910663086193,Boundary Conditions - Biomarkers
PPAt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
SUMt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
OAAt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ICITt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
MAL_Lte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
MERCPLACt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
AKGt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
CHOLtu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
r1512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
PSt3,2.574440757936915,2.5717930734904315,0.0,2.571793073490434,0.0,1.6065420475472068,0.0,Boundary Conditions - Lipids
PEt,2.9176995256618112,2.914698816622489,0.0,2.914698816622493,0.0,1.8207476538868248,0.0,Boundary Conditions - Lipids
PCHOLHSTDe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Lipids
H2Ot,2.643046543164118,2.6537803949333068,-4.160044330099566,2.653780394933321,-4.160044330099609,-0.7559525851249589,-3.028802775845328,Boundary Conditions - Misc
TSULt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
COt,0.088875,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
FE2t,0.088875,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
FORt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
Hct_MitoCore,417.35314538746246,417.2825628699799,417.2355448546622,417.2825628699799,417.2355448546622,297.1967728993434,274.6502481130184,Boundary Conditions - Misc
r0940,0.0059999999999955,0.006,0.0059999999999954,0.006,0.006,0.006,0.006,Boundary Conditions - Misc
SO3t_MitoCore,0.0060000000000527,0.006,0.005999999999991,0.006,0.006,0.006,0.006,Boundary Conditions - Misc
CYANt,0.0059999999999954,0.006,0.0059999999999954,0.006,0.006,0.006,0.006,Boundary Conditions - Misc
FOLt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NOt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
r0899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
r1423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
Hmt_MitoCore,4.8697010759392425,4.837303832454279,2.3109150197628248,4.837303832454289,2.310915019762847,3.1035701922780565,2.190078835452512,Boundary Conditions - Misc
TCYNTt,0.0059999999999718,0.006,0.0059999999999919,0.006,0.006,0.006,0.006,Boundary Conditions - Misc
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
