,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.0,0.0,1000.0,0.0,0.0,Acetate production,False,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ALDD2x,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ACSm,0.0,0.0,1000.0,0.0,0.1645,Alcohol metabolism,False,False
ACS,,,,,,Alcohol metabolism,False,False
ALCD2yf,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,False,True
ALCD2if,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
NABTNOm,0.0,0.0,0.1644999999999977,0.0,0.164500000000009,Arginine degradation,True,False
ARGDCm,0.0,0.0,1000.0,0.0,0.1645000000000086,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.164500000000009,Arginine degradation,False,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.164500000000009,Arginine degradation,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.164500000000009,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.164500000000009,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,6.734949896135977,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,6.7249498961359775,Asparagine synthesis,False,False
APAT2rm,0.0,-1000.0,1000.0,0.0,0.0,Beta-alanine degradation,False,False
MMSAD3m2_MitoCore,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,False,True
MMSAD3m,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,True,False
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
r1088,0.0,-1000.0,0.0,-1.9179999999999988,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,0.0,-0.01,0.01,0.0,0.0,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.1096666666666666,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.3289999999999999,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.161,Boundary Conditions - Biomarkers,False,False
2HBt2,-0.012,-1000.0,0.0,-0.017,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.9180000000000048,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.3620000000000078,-1000.0,1000.0,-0.3139999999999999,0.39,Boundary Conditions - Biomarkers,False,False
PPAt,-0.0149999999999996,-1000.0,0.0,-0.032,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.9179999999999924,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,0.0,-1000.0,0.0,-1.9179999999999984,0.0,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.9179999999999988,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.006,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,0.0,-1000.0,0.0,-1.9179999999999977,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,-3.08615168818852,0.0,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
PSt3,0.0,-1000.0,1000.0,0.0,2.571793073490434,Boundary Conditions - Lipids,False,False
PEt,0.0,-1000.0,1000.0,0.0,2.914698816622493,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,-6.515209119509097,0.0,Boundary Conditions - Lipids,False,False
H2Ot,-14.971260869565189,-1000.0,1000.0,-16.99573913043473,2.653780394933321,Boundary Conditions - Misc,False,False
TSULt_MitoCore,-0.001,-1000.0,1000.0,-0.006,0.0,Boundary Conditions - Misc,False,False
COt,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
FE2t,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
Hct_MitoCore,2.5613043478260864,-1000.0,1000.0,-3.690156478227872,417.2825628699799,Boundary Conditions - Misc,False,False
r0940,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
SO3t_MitoCore,0.001,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
CYANt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
NOt,0.0,-1000.0,1000.0,-0.3220000000000018,0.0,Boundary Conditions - Misc,False,False
r0899,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
r1423,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
Hmt_MitoCore,-1.932293836598208,-1000.0,1000.0,-416.665073388447,4.837303832454289,Boundary Conditions - Misc,False,False
TCYNTt,0.0,-1000.0,1000.0,0.0,0.006,Boundary Conditions - Misc,False,False
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
r0942,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
r0942b_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
ETOHt,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
BUTt2r,0.0,-1000.0,0.006,0.0,0.006,Boundary conditions - alternative fuels,False,False
GLYCt,-0.01,-0.01,1000.0,-0.01,1.1057500000000005,Boundary conditions - alternative fuels,False,False
ACACt2,0.114,0.0,0.114,0.0,0.114,Boundary conditions - core,False,False
HDCAtr,0.4743043478260869,-1000.0,1.0,0.2841725407356226,1.0,Boundary conditions - core,False,False
BHBt,0.048,0.0,0.048,0.0,0.048,Boundary conditions - core,False,False
Biomass_MitoCore,-100.87424844203976,-1000.0,0.0,-100.87424844203996,-80.69939875363181,Boundary conditions - core,False,False
HDCAtm_MitoCore,0.0,-1000.0,0.0,-0.7032446396410779,0.0,Boundary conditions - core,False,False
HCO3t_MitoCore,0.016,-1000.0,1.71,0.0,1.71,Boundary conditions - core,False,False
O2t,19.8,0.0,19.8,15.648742353897656,19.8,Boundary conditions - core,False,False
L_LACt2r,0.575,-1000.0,0.575,-2.0554999999999994,0.575,Boundary conditions - core,False,False
CO2t,-16.590869565217393,-1000.0,1000.0,-18.346086956521937,-9.712232200889035,Boundary conditions - core,False,False
GLCt1r,0.9,-1000.0,0.9,0.0,0.9,Boundary conditions - core,False,False
HIStiDF,0.01,0.0,0.01,0.0,0.01,Boundary conditions - essential amino acids,False,False
