,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.0,0.0,1000.0,0.0,0.0,Acetate production,False,False
ALCD2if,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALCD2yf,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,False,True
ALDD2x,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism,True,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ACSm,0.0,0.0,1000.0,0.0,0.1341455331543095,Alcohol metabolism,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.1341455331543103,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.1341455331543103,Arginine degradation,False,False
ARGDCm,0.0,0.0,1000.0,0.0,0.1341455331543103,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.1341455331543103,Arginine degradation,False,False
NABTNOm,0.0,0.0,0.162593776824032,0.0,0.1341455331543103,Arginine degradation,True,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.1341455331543103,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,4.7809189555313205,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,4.770918955531319,Asparagine synthesis,False,False
APAT2rm,0.0,-1000.0,1000.0,0.0,0.0,Beta-alanine degradation,False,False
MMSAD3m,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,True,False
MMSAD3m2_MitoCore,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation,False,True
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.0038798586572417,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,0.0,-0.01,0.01,0.0,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,0.0,-1000.0,0.0,-1.30830180283235,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.5473911994410483,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.2682910663086192,0.0,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.1541747364955013,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.7060130064044816,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.1306455331543917,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.0894303554362053,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,-0.8279635970383596,-1000.0,0.0,-1.9178588235294152,0.0,Boundary Conditions - Biomarkers,False,False
r1088,0.0,-1000.0,0.0,-1.1541747364955026,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.7060130064044825,0.0,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.265681739537054,-1000.0,1000.0,-0.2532910663086192,0.3292910663086441,Boundary Conditions - Biomarkers,False,False
2HBt2,0.0,-1000.0,0.0,-0.0109929328621879,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,-1.927850457056636,0.0,Boundary Conditions - Biomarkers,False,False
PPAt,-0.013765121141311,-1000.0,0.0,-0.013765121141311,0.0,Boundary Conditions - Biomarkers,False,False
PEt,0.0,-1000.0,1000.0,0.0,1.8207476538868337,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,-4.069906520452908,0.0,Boundary Conditions - Lipids,False,False
PSt3,0.0,-1000.0,1000.0,0.0,1.6065420475472716,Boundary Conditions - Lipids,False,False
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NOt,0.0,-1000.0,1000.0,-0.2612910663086192,0.0,Boundary Conditions - Misc,False,False
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
SO3t_MitoCore,0.0,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
TSULt_MitoCore,0.0,-1000.0,1000.0,-0.006,0.0,Boundary Conditions - Misc,False,False
Hmt_MitoCore,-2.6064634122572112,-1000.0,1000.0,-296.8689288975011,3.103570192278102,Boundary Conditions - Misc,False,False
Hct_MitoCore,2.988103974913064,-1000.0,1000.0,-1.879738195607357,297.19677289935566,Boundary Conditions - Misc,False,False
H2Ot,-12.400879021980368,-1000.0,1000.0,-13.127618741121182,-0.7559525851250228,Boundary Conditions - Misc,False,False
r0899,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
r0940,0.0,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
COt,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
CYANt,0.001,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
r1423,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,0.0,0.0,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
FE2t,0.0,-1000.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
TCYNTt,0.001,-1000.0,1000.0,0.0,0.0060000000000096,Boundary Conditions - Misc,False,False
NADt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
BUTt2r,0.006,-1000.0,0.006,0.0,0.006,Boundary conditions - alternative fuels,False,False
GLYCt,-0.01,-0.01,1000.0,-0.01,0.583086969497142,Boundary conditions - alternative fuels,False,False
ETOHt,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
r0942b_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
r0942,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels,False,False
HDCAtr,0.3835616438356163,-1000.0,1.0,0.2449140731298284,1.0,Boundary conditions - core,False,False
BHBt,0.0168,0.0,0.048,0.0,0.0168,Boundary conditions - core,False,False
Biomass_MitoCore,-71.56378433296977,-1000.0,0.0,-71.56378433297084,-57.25102746637582,Boundary conditions - core,False,False
ACACt2,0.114,0.0,0.114,0.0,0.114,Boundary conditions - core,False,False
HDCAtm_MitoCore,0.0,-1000.0,0.0,-0.7418130216540834,0.0,Boundary conditions - core,False,False
L_LACt2r,0.3718197879858657,-1000.0,0.575,-1.329174911660769,0.3718197879858657,Boundary conditions - core,False,False
HCO3t_MitoCore,1.5108424134764664,-1000.0,1.71,0.0,1.71,Boundary conditions - core,False,False
GLCt1r,0.8523684210526316,-1000.0,0.9,0.0097441241353893,0.9,Boundary conditions - core,False,False
O2t,14.497733906039263,0.0,19.8,11.076158160212486,15.020283071623322,Boundary conditions - core,False,False
CO2t,-12.178192149229613,-1000.0,1000.0,-13.461538465034428,-7.913282002324005,Boundary conditions - core,False,False
LYStiDF,0.0086037735849056,0.0,0.03,0.0,0.0168828433523475,Boundary conditions - essential amino acids,False,False
HIStiDF,0.01,0.0,0.01,0.0,0.01,Boundary conditions - essential amino acids,False,False
ILEtec,0.0021617021276595,0.0,0.004,0.0,0.004,Boundary conditions - essential amino acids,False,False
