,mitocore,mitoparp,293,mitoparp + high NAD,293 + high NAD,mitoparp + low NAD,293 + low NAD,subsystem
ACOAHi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acetate production
ACALDtm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Alcohol metabolism
ALDD2x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2xm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACSm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACS,0.0,,,,,,,Alcohol metabolism
ALCD2yf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALCD2if,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
NABTNOm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
ARGDCm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
4aabutn_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
APRTO2m_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
PTRCAT1m_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
AGMTm,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Arginine degradation
r0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asparagine degradation
ASNS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asparagine synthesis
APAT2rm,-1000.0,,-1000.0,,-1000.0,,-1000.0,Beta-alanine degradation
MMSAD3m2_MitoCore,0.0,,0.0,,0.0,,0.0,Beta-alanine degradation
MMSAD3m,0.0,,0.0,,0.0,,0.0,Beta-alanine degradation
ASP1DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis
r1088,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
ACt2r,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,Boundary Conditions - Biomarkers
ARGSUCt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
UREAt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
r0817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
2HBt2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
FUMt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
NH4t3r,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
PPAt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
SUMt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
OAAt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
ICITt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
MAL_Lte,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
MERCPLACt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
AKGt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
CHOLtu,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
r1512,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Biomarkers
PSt3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Lipids
PEt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Lipids
PCHOLHSTDe,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Lipids
H2Ot,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
TSULt_MitoCore,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
COt,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,Boundary Conditions - Misc
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
