,flux_pfba,lower_bound,upper_bound,fva_lower,fva_upper,pathway,nad_dependent,nadp_dependent
ACOAHi,0.0,0.0,1000.0,0.0,10.09220805232374,Acetate production,False,False
ACALDtm,0.0,-1000.0,1000.0,0.0,0.0,Alcohol metabolism,False,False
ALDD2x,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,True,False
ALDD2xm,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,True,False
ACSm,0.0,0.0,1000.0,0.0,0.1684999999999999,Alcohol metabolism,False,False
ACS,0.0,0.0,1000.0,0.0,10.089230387215649,Alcohol metabolism,False,False
ALCD2yf,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,False,True
ALCD2if,0.0,0.0,1000.0,0.0,0.0,Alcohol metabolism,True,False
NABTNOm,0.0,0.0,1000.0,0.0,0.1684999999999974,Arginine degradation,True,False
ARGDCm,0.0,0.0,1000.0,0.0,0.1684999999999974,Arginine degradation,False,False
4aabutn_MitoCore,0.0,0.0,1000.0,0.0,0.1684999999999974,Arginine degradation,False,False
APRTO2m_MitoCore,0.0,0.0,1000.0,0.0,0.1684999999999974,Arginine degradation,False,False
PTRCAT1m_MitoCore,0.0,0.0,1000.0,0.0,0.1684999999999974,Arginine degradation,False,False
AGMTm,0.0,-1000.0,1000.0,0.0,0.1684999999999974,Arginine degradation,False,False
r0127,0.01,0.0,1000.0,0.0,6.736153591477067,Asparagine degradation,False,False
ASNS1,0.0,0.0,1000.0,0.0,6.726153591477062,Asparagine synthesis,False,False
APAT2rm,0.0,-1000.0,1000.0,0.0,0.0,Beta-alanine degradation,False,False
MMSAD3m2_MitoCore,0.0,0.0,1000.0,0.0,0.0,Beta-alanine degradation,False,True
MMSAD3m,0.0,0.0,1000.0,0.0,0.0,Beta-alanine degradation,True,False
ASP1DC,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis,False,False
r1088,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
ACt2r,0.0,-0.01,0.01,-0.01,0.01,Boundary Conditions - Biomarkers,False,False
ARGSUCt_MitoCore,0.0,-1000.0,0.0,-0.1123333333333318,0.0,Boundary Conditions - Biomarkers,False,False
UREAt,-0.007,-1000.0,0.0,-0.3370000000001091,0.0,Boundary Conditions - Biomarkers,False,False
r0817,0.0,0.0,1000.0,0.0,0.1649999999999977,Boundary Conditions - Biomarkers,False,False
2HBt2,0.0,-1000.0,0.0,-0.0170000000000965,0.0,Boundary Conditions - Biomarkers,False,False
FUMt_MitoCore,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
NH4t3r,0.3620000000000091,-1000.0,1000.0,-0.3219999999999999,0.4059999999999955,Boundary Conditions - Biomarkers,False,False
PPAt,0.0,-1000.0,0.0,-1.9499999999999265,0.0,Boundary Conditions - Biomarkers,False,False
SUMt_MitoCore,0.0,-1000.0,0.0,-1.9179999999999973,0.0,Boundary Conditions - Biomarkers,False,False
OAAt_MitoCore,0.0,-1000.0,0.0,-1.917999999999999,0.0,Boundary Conditions - Biomarkers,False,False
ICITt_MitoCore,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
MAL_Lte,0.0,-1000.0,0.0,-1.918,0.0,Boundary Conditions - Biomarkers,False,False
MERCPLACt_MitoCore,0.0,-1000.0,0.0,-0.0059999999999386,0.0,Boundary Conditions - Biomarkers,False,False
AKGt_MitoCore,0.0,-1000.0,0.0,-1.918000000000001,0.0,Boundary Conditions - Biomarkers,False,False
CHOLtu,0.0,-1000.0,0.0,-3.0893289095242524,0.0,Boundary Conditions - Biomarkers,False,False
r1512,0.0,-1000.0,0.0,-0.088875,0.0,Boundary Conditions - Biomarkers,False,False
PSt3,0.0,-1000.0,1000.0,0.0,2.574440757936915,Boundary Conditions - Lipids,False,False
PEt,0.0,-1000.0,1000.0,0.0,2.9176995256618112,Boundary Conditions - Lipids,False,False
PCHOLHSTDe,0.0,-1000.0,1000.0,-6.521916586773431,0.0,Boundary Conditions - Lipids,False,False
H2Ot,-15.026434782608687,-1000.0,1000.0,-17.89608231707311,2.643046543164118,Boundary Conditions - Misc,False,False
TSULt_MitoCore,-0.001,-1000.0,1000.0,-0.0059999999999954,0.0,Boundary Conditions - Misc,False,False
COt,0.0,-1000.0,1000.0,0.0,0.088875,Boundary Conditions - Misc,False,False
NADHt_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
NADtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
FE2t,0.0,-1000.0,1000.0,0.0,0.088875,Boundary Conditions - Misc,False,False
FORt_MitoCore,0.0,-1000.0,0.0,-0.008,0.0,Boundary Conditions - Misc,False,False
NADHtm_MitoCore,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc,True,False
Hct_MitoCore,2.568673913043483,-1000.0,1000.0,-3.747118359288245,417.35314538746246,Boundary Conditions - Misc,False,False
r0940,0.0,-1000.0,1000.0,0.0,0.0059999999999955,Boundary Conditions - Misc,False,False
SO3t_MitoCore,0.001,-1000.0,1000.0,-0.0059999999999954,0.0060000000000527,Boundary Conditions - Misc,False,False
CYANt,0.0,-1000.0,1000.0,0.0,0.0059999999999954,Boundary Conditions - Misc,False,False
FOLt_MitoCore,0.0,0.0,1000.0,0.0,0.0,Boundary Conditions - Misc,False,False
